area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道央,空知,夕張市,入込総数,28.4,49.5,52.5,63.5,70,50.6,72.3,31.6,42.2,50.8,57.4,28.6,597.4,622.1,96.029577,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,夕張市,内道外客,1.6,3.1,3.3,4.1,4.5,3.3,4.6,2.1,2.6,3.2,3.6,1.9,37.9,39.6,95.707071,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,夕張市,内道内客,26.8,46.4,49.2,59.4,65.5,47.3,67.7,29.5,39.6,47.6,53.8,26.7,559.5,582.5,96.051502,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,夕張市,内日帰客,23.5,43.7,46.1,51.5,57.6,43.5,67.3,29,36.9,42.7,50.1,23.6,515.5,536.4,96.103654,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,夕張市,内宿泊客,4.9,5.8,6.4,12,12.4,7.1,5,2.6,5.3,8.1,7.3,5,81.9,85.7,95.565928,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,夕張市,宿泊客延数,5.2,6.6,7,12.9,13.3,7.7,5.4,2.8,7.4,11.5,10.4,5.3,95.5,98.9,96.562184,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,岩見沢市,入込総数,54.3,143,73.1,318.1,209.6,210.7,59.9,31.9,35.6,84.6,72.1,38.9,1331.8,1115.3,119.411817,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,岩見沢市,内道外客,2.5,6.1,3.4,10.7,8.4,7.4,2.8,1.8,1.5,2,2.1,1.7,50.4,36.1,139.612188,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,岩見沢市,内道内客,51.8,136.9,69.7,307.4,201.2,203.3,57.1,30.1,34.1,82.6,70,37.2,1281.4,1079.2,118.736101,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,岩見沢市,内日帰客,50.9,138.2,67.7,311.3,201.9,204.1,53.7,26.8,31,79.9,67.5,34.6,1267.6,1067.4,118.755855,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,岩見沢市,内宿泊客,3.4,4.8,5.4,6.8,7.7,6.6,6.2,5.1,4.6,4.7,4.6,4.3,64.2,47.9,134.029228,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,岩見沢市,宿泊客延数,3.7,5.3,6,7.3,8.3,7.2,7.1,6,5.5,5.7,5.4,5.1,72.6,61.6,117.857143,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,美唄市,入込総数,20.2,59.9,25,25.4,33.2,28.6,21.5,13.5,9.9,23.6,21.8,20.2,302.8,312.5,96.896,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,美唄市,内道外客,2.2,5.9,2.5,2.5,3.3,2.8,2.5,1.3,0.9,2.3,2.1,2,30.3,31.1,97.427653,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,美唄市,内道内客,18,54,22.5,22.9,29.9,25.8,19,12.2,9,21.3,19.7,18.2,272.5,281.4,96.837242,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,美唄市,内日帰客,18.9,58.1,23,23.3,30.6,26,18.4,11.5,8.3,21.6,20.3,18.2,278.2,290.4,95.798898,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,美唄市,内宿泊客,1.3,1.8,2,2.1,2.6,2.6,3.1,2,1.6,2,1.5,2,24.6,22.1,111.312217,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,美唄市,宿泊客延数,1.3,1.8,2,2.1,2.6,2.6,3.1,2,1.6,2,1.5,2,24.6,22.1,111.312217,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,芦別市,入込総数,29.6,60.8,65.9,98.4,99.2,64.8,58.1,25,27.9,62.2,41.5,35,668.4,755.9,88.424395,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,芦別市,内道外客,0,0.1,0.2,2.4,0.5,0.1,0.3,0.4,0.6,0.9,1.2,0.4,7.1,10.5,67.619048,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,芦別市,内道内客,29.6,60.7,65.7,96,98.7,64.7,57.8,24.6,27.3,61.3,40.3,34.6,661.3,745.4,88.717467,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,芦別市,内日帰客,28.4,58.7,62.9,90,93.3,61.8,56.7,23.9,26.8,60.4,40.4,33.6,636.9,724.7,87.884642,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,芦別市,内宿泊客,1.2,2.1,3,8.4,5.9,3,1.4,1.1,1.1,1.8,1.1,1.4,31.5,31.2,100.961538,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,芦別市,宿泊客延数,1.2,2.1,3,8.6,6.3,3.1,1.5,1.1,1.1,1.8,1.1,1.4,32.3,31.5,102.539683,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,赤平市,入込総数,20.2,12,13.4,58.7,28.8,14.6,16,9.7,8.7,12.1,10,10.9,215.1,209.8,102.526215,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,赤平市,内道外客,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0.2,0.2,100,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,赤平市,内道内客,20.2,12,13.4,58.6,28.7,14.6,16,9.7,8.7,12.1,10,10.9,214.9,209.6,102.528626,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,赤平市,内日帰客,20.1,11.5,12.8,56,23.5,13.2,15.5,9.4,8.4,11.5,9.3,10.5,201.7,198.1,101.817264,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,赤平市,内宿泊客,0.1,0.5,0.6,2.7,5.3,1.4,0.5,0.3,0.3,0.6,0.7,0.4,13.4,11.7,114.529915,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,赤平市,宿泊客延数,0.1,0.5,0.6,2.7,5.3,1.4,0.5,0.3,0.3,0.6,0.7,0.4,13.4,11.7,114.529915,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,三笠市,入込総数,56.2,123.5,90.9,116.5,171.7,98.7,95.3,53.4,34.6,40,34.8,36.2,951.8,880.5,108.097672,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,三笠市,内道外客,3.9,8.6,6.4,8.2,12,6.9,6.7,3.7,2.4,2.8,2.4,2.5,66.5,61.6,107.954545,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,三笠市,内道内客,52.3,114.9,84.5,108.3,159.7,91.8,88.6,49.7,32.2,37.2,32.4,33.7,885.3,818.9,108.108438,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,三笠市,内日帰客,54.5,119.8,88.2,113,166.5,95.7,92.4,51.8,33.6,38.8,33.8,35.1,923.2,854.1,108.090388,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,三笠市,内宿泊客,1.7,3.7,2.7,3.5,5.2,3,2.9,1.6,1,1.2,1,1.1,28.6,26.4,108.333333,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,三笠市,宿泊客延数,1.7,3.7,2.7,3.5,5.2,3,2.9,1.6,1,1.2,1,1.1,28.6,26.4,108.333333,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,滝川市,入込総数,42.8,100.9,123.8,70.2,119.9,66.5,45.1,35.4,24.2,25.9,29.7,31.6,716,669.1,107.009416,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,滝川市,内道外客,4.9,9,8.2,8,11.2,7.3,5.1,3.8,2.2,2.5,2.3,3.3,67.8,67.5,100.444444,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,滝川市,内道内客,37.9,91.9,115.6,62.2,108.7,59.2,40,31.6,22,23.4,27.4,28.3,648.2,601.6,107.746011,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,滝川市,内日帰客,42.1,99.7,121.6,67.8,116.7,64.5,43.8,34.7,23.5,24.8,29,30.9,699.1,653.6,106.961444,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,滝川市,内宿泊客,0.7,1.2,2.2,2.4,3.2,2,1.3,0.7,0.7,1.1,0.7,0.7,16.9,15.5,109.032258,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,滝川市,宿泊客延数,0.8,1.4,2.7,2.9,3.8,2.3,1.6,0.9,0.9,1.3,0.9,0.8,20.3,19.2,105.729167,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,砂川市,入込総数,69.4,158,127.2,162.1,205.3,149.8,128.4,72.4,53.2,57.7,94.9,83.6,1362,1367.3,99.612375,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,砂川市,内道外客,13.5,28.6,26.9,40.9,50.5,37.7,30.8,16.9,12.4,12.4,22.5,19.1,312.2,324.1,96.328294,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,砂川市,内道内客,55.9,129.4,100.3,121.2,154.8,112.1,97.6,55.5,40.8,45.3,72.4,64.5,1049.8,1043.2,100.632669,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,砂川市,内日帰客,68.3,150.8,125.2,159.5,201.3,143.5,124.4,71.5,52.7,56.7,93.1,82.5,1329.5,1336.6,99.468801,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,砂川市,内宿泊客,1.1,7.2,2,2.6,4,6.3,4,0.9,0.5,1,1.8,1.1,32.5,30.7,105.863192,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,砂川市,宿泊客延数,1.9,9,3.8,5.6,6.1,8.7,4.7,1.6,0.9,2.3,2.1,2.1,48.8,49.9,97.795591,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,歌志内市,入込総数,30.5,32.4,23.6,27.5,35.5,25.3,26.2,21,30,49.5,36.3,29.8,367.6,724.4,50.745445,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,歌志内市,内道外客,0.1,0.1,0.2,0.2,0.4,0.2,0.2,0.1,0.3,0.3,0.1,0.1,2.3,2.3,100,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,歌志内市,内道内客,30.4,32.3,23.4,27.3,35.1,25.1,26,20.9,29.7,49.2,36.2,29.7,365.3,722.1,50.588561,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,歌志内市,内日帰客,29.9,31.5,22.3,26.1,33.1,24,25.1,20.4,27.7,47.5,35.3,28.9,351.8,708.8,49.633183,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,歌志内市,内宿泊客,0.6,0.9,1.3,1.4,2.4,1.3,1.1,0.6,2.3,2,1,0.9,15.8,15.6,101.282051,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,歌志内市,宿泊客延数,0.6,0.9,1.3,1.4,2.4,1.3,1.1,0.6,2.3,2,1,0.9,15.8,15.6,101.282051,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,深川市,入込総数,58.1,92.7,85.2,133.5,128.4,98.6,88.5,58.2,38.1,40.5,59.8,51.8,933.4,977.1,95.527582,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,深川市,内道外客,5.6,2.6,9.3,10.6,15.7,10.2,7.9,5.3,3.3,3.6,3.3,4.7,82.1,83,98.915663,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,深川市,内道内客,52.5,90.1,75.9,122.9,112.7,88.4,80.6,52.9,34.8,36.9,56.5,47.1,851.3,894.1,95.213063,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,深川市,内日帰客,57.9,92,83.9,131.9,124.4,97,87.9,57.7,37.6,40.1,59.5,51.4,921.3,965.8,95.392421,,,,,,,,,,,,,,,,,,,,,,,
道央,空知,深川市,内宿泊客,0.2,0.7,1.3,1.6,4,1.6,0.6,0.5,0.5,0.4,0.3,0.4,12.1,11.3,107.079646,,,,,,,,,,,,,,,,,,,,,,,
