area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道南,渡島,函館市,入込総数,293.2,600.1,539.9,611.3,684.9,575.5,483.2,295.6,244.4,139.6,177.9,219.2,4864.8,4843.4,100.44183837799893
道南,渡島,函館市,内道外客,188.8,382.3,353.3,404.2,432.7,382.9,338.8,212.9,179.4,95.3,125.8,141.9,3238.3,3237.1,100.0370702171697
道南,渡島,函館市,内道内客,104.4,217.8,186.6,207.1,252.2,192.6,144.4,82.7,65.0,44.3,52.1,77.3,1626.5,1606.3,101.25754840316255
道南,渡島,函館市,内日帰客,147.5,237.1,208.4,257.0,234.1,222.5,159.0,69.9,63.7,35.6,35.6,86.5,1756.9,1687.3,104.12493332543119
道南,渡島,函館市,内宿泊客,145.7,363.0,331.5,354.3,450.8,353.0,324.2,225.7,180.7,104.0,142.3,132.7,3107.9,3156.1,98.4727987072653
道南,渡島,函館市,宿泊客延数,185.0,457.4,431.0,446.4,577.0,451.8,470.1,304.7,254.8,139.4,231.9,196.4,4145.9,3946.3,105.05790233889971
道南,渡島,松前町,入込総数,43.0,250.0,16.0,35.0,75.0,23.5,26.0,17.0,12.5,5.0,4.0,5.0,512.0,486.0,105.34979423868313
道南,渡島,松前町,内道外客,8.0,76.3,4.5,8.0,15.8,3.6,6.5,4.7,3.8,1.1,0.9,1.1,134.3,120.7,111.26760563380283
道南,渡島,松前町,内道内客,35.0,173.7,11.5,27.0,59.2,19.9,19.5,12.3,8.7,3.9,3.1,3.9,377.7,365.3,103.39447029838489
道南,渡島,松前町,内日帰客,38.2,212.4,14.4,31.2,64.5,21.4,20.9,12.0,9.0,3.9,3.3,3.6,434.8,424.7,102.378149281846
道南,渡島,松前町,内宿泊客,4.8,37.6,1.6,3.8,10.5,2.1,5.1,5.0,3.5,1.1,0.7,1.4,77.2,61.3,125.93800978792824
道南,渡島,松前町,宿泊客延数,4.9,39.9,1.6,3.9,11.0,2.1,5.5,5.1,5.2,1.6,0.7,1.6,83.1,65.3,127.25880551301685
道南,渡島,福島町,入込総数,5.6,19.8,6.3,8.6,14.0,7.4,8.0,5.4,2.6,2.4,2.1,2.5,84.7,91.7,92.36641221374046
道南,渡島,福島町,内道外客,0.5,1.9,0.6,0.8,1.3,0.7,0.7,0.4,0.2,0.2,0.2,0.2,7.7,6.9,111.59420289855073
道南,渡島,福島町,内道内客,5.1,17.9,5.7,7.8,12.7,6.7,7.3,5.0,2.4,2.2,1.9,2.3,77.0,84.8,90.80188679245283
道南,渡島,福島町,内日帰客,5.5,19.3,6.2,8.4,13.6,7.2,7.8,5.3,2.6,2.4,2.1,2.5,82.9,89.6,92.52232142857144
道南,渡島,福島町,内宿泊客,0.1,0.5,0.1,0.2,0.4,0.2,0.2,0.1,0.0,0.0,0.0,0.0,1.8,2.1,85.71428571428571
道南,渡島,福島町,宿泊客延数,0.1,0.5,0.1,0.2,0.4,0.2,0.2,0.1,0.0,0.0,0.0,0.0,1.8,2.1,85.71428571428571
道南,渡島,知内町,入込総数,9.7,26.3,6.5,6.9,34.5,7.7,6.4,5.5,4.3,5.4,7.5,5.3,126.0,103.3,121.97483059051306
道南,渡島,知内町,内道外客,5.3,14.5,2.0,2.1,19.0,3.1,0.3,0.3,0.2,0.3,0.8,0.5,48.4,39.1,123.78516624040921
道南,渡島,知内町,内道内客,4.4,11.8,4.5,4.8,15.5,4.6,6.1,5.2,4.1,5.1,6.7,4.8,77.6,64.2,120.87227414330218
道南,渡島,知内町,内日帰客,8.5,23.7,5.8,6.2,32.4,6.9,5.4,4.9,4.1,4.9,6.4,4.8,114.0,90.5,125.96685082872926
道南,渡島,知内町,内宿泊客,1.2,2.6,0.7,0.7,2.1,0.8,1.0,0.6,0.2,0.5,1.1,0.5,12.0,12.8,93.75
道南,渡島,知内町,宿泊客延数,1.3,2.8,0.8,0.8,2.3,0.9,1.1,0.6,0.2,0.5,1.2,0.5,13.0,17.6,73.86363636363636
道南,渡島,木古内町,入込総数,0.6,5.1,2.7,2.6,6.7,3.6,3.0,2.1,0.7,4.7,0.5,0.7,33.0,29.3,112.62798634812286
道南,渡島,木古内町,内道外客,0.0,0.6,0.1,0.1,0.5,0.1,0.0,0.0,0.0,0.5,0.0,0.0,1.9,0.7,271.42857142857144
道南,渡島,木古内町,内道内客,0.6,4.5,2.6,2.5,6.2,3.5,3.0,2.1,0.7,4.2,0.5,0.7,31.1,28.6,108.74125874125875
道南,渡島,木古内町,内日帰客,0.5,4.5,2.3,2.2,6.3,3.2,2.5,1.8,0.5,4.5,0.4,0.5,29.2,25.5,114.50980392156862
道南,渡島,木古内町,内宿泊客,0.1,0.6,0.4,0.4,0.4,0.4,0.5,0.3,0.2,0.2,0.1,0.2,3.8,3.8,100.0
道南,渡島,木古内町,宿泊客延数,0.1,0.6,0.4,0.4,0.4,0.4,0.6,0.3,0.2,0.2,0.2,0.2,4.0,4.4,90.9090909090909
道南,渡島,旧上磯町（現北斗市）,入込総数,47.0,79.3,80.5,90.7,86.8,68.5,54.9,51.3,37.7,41.7,37.1,43.4,718.9,104.6,687.2848948374761
道南,渡島,旧上磯町（現北斗市）,内道外客,1.9,8.5,5.2,7.0,8.8,6.1,4.7,1.7,0.8,0.5,0.6,1.0,46.8,27.7,168.95306859205778
道南,渡島,旧上磯町（現北斗市）,内道内客,45.1,70.8,75.3,83.7,78.0,62.4,50.2,49.6,36.9,41.2,36.5,42.4,672.1,76.9,873.9921976592977
道南,渡島,旧上磯町（現北斗市）,内日帰客,45.8,77.4,78.5,86.3,79.7,65.4,53.6,50.0,36.2,40.1,36.1,41.9,691.0,76.9,898.5695708712614
道南,渡島,旧上磯町（現北斗市）,内宿泊客,1.2,1.9,2.0,4.4,7.1,3.1,1.3,1.3,1.5,1.6,1.0,1.5,27.9,27.7,100.7220216606498
道南,渡島,旧上磯町（現北斗市）,宿泊客延数,1.4,2.3,2.4,5.3,8.6,3.7,1.7,1.6,1.7,1.9,1.3,1.8,33.7,27.7,121.66064981949461
道南,渡島,七飯町,入込総数,122.0,244.6,186.2,213.4,262.6,210.5,248.0,156.0,110.8,112.0,138.5,84.7,2089.3,2068.7,100.99579446028908
道南,渡島,七飯町,内道外客,76.1,148.3,114.9,131.6,163.7,136.4,154.0,110.2,77.5,55.0,84.4,58.0,1310.1,1244.4,105.27965284474443
道南,渡島,七飯町,内道内客,45.9,96.3,71.3,81.8,98.9,74.1,94.0,45.8,33.3,57.0,54.1,26.7,779.2,824.3,94.52869101055443
道南,渡島,七飯町,内日帰客,118.4,231.9,178.2,201.0,245.5,198.2,237.6,152.3,107.0,107.5,131.6,81.8,1991.0,1955.8,101.7997750281215
道南,渡島,七飯町,内宿泊客,3.6,12.7,8.0,12.4,17.1,12.3,10.4,3.7,3.8,4.5,6.9,2.9,98.3,112.9,87.0682019486271
道南,渡島,七飯町,宿泊客延数,3.6,12.7,8.0,12.4,17.1,12.3,10.4,3.7,3.8,4.5,6.9,2.9,98.3,112.9,87.0682019486271
道南,渡島,鹿部町,入込総数,14.5,30.7,23.3,27.4,51.8,29.7,30.3,16.1,8.5,4.9,7.2,8.4,252.8,280.7,90.060562878518
道南,渡島,鹿部町,内道外客,4.6,5.4,7.3,7.5,7.6,11.3,7.1,3.4,3.5,0.8,1.3,1.0,60.8,51.0,119.2156862745098
道南,渡島,鹿部町,内道内客,9.9,25.3,16.0,19.9,44.2,18.4,23.2,12.7,5.0,4.1,5.9,7.4,192.0,229.7,83.58728776665217
道南,渡島,鹿部町,内日帰客,8.8,22.1,14.6,19.2,41.0,18.1,19.0,10.2,3.1,2.9,4.4,5.5,168.9,200.1,84.40779610194903
道南,渡島,鹿部町,内宿泊客,5.7,8.6,8.7,8.2,10.8,11.6,11.3,5.9,5.4,2.0,2.8,2.9,83.9,80.6,104.09429280397025
道南,渡島,鹿部町,宿泊客延数,5.7,8.6,8.7,8.2,10.8,11.6,11.3,5.9,5.4,2.0,2.8,2.9,83.9,80.9,103.70828182941902
道南,渡島,森町,入込総数,38.4,215.8,49.6,61.1,94.1,67.9,49.9,32.4,23.3,29.5,29.7,28.0,719.7,742.2,96.96847210994342
道南,渡島,森町,内道外客,2.1,5.9,4.4,5.0,13.6,5.3,3.2,1.2,0.6,1.8,2.1,1.6,46.8,43.8,106.84931506849315
道南,渡島,森町,内道内客,36.3,209.9,45.2,56.1,80.5,62.6,46.7,31.2,22.7,27.7,27.6,26.4,672.9,698.4,96.3487972508591
道南,渡島,森町,内日帰客,33.6,208.0,42.6,54.4,83.4,60.8,44.3,29.0,20.0,24.7,25.6,24.4,650.8,676.3,96.22948395682388
道南,渡島,森町,内宿泊客,4.8,7.8,7.0,6.7,10.7,7.1,5.6,3.4,3.3,4.8,4.1,3.6,68.9,65.9,104.55235204855842
道南,渡島,森町,宿泊客延数,5.5,8.6,7.8,7.5,11.9,7.7,6.2,4.0,3.6,5.5,5.7,4.2,78.2,71.3,109.67741935483872
道南,渡島,旧八雲町（現八雲町）,入込総数,19.2,68.1,33.1,64.3,79.7,47.4,44.4,22.8,11.5,13.9,19.4,18.9,442.7,192.8,229.6161825726141
道南,渡島,旧八雲町（現八雲町）,内道外客,3.9,7.7,8.0,16.7,20.2,14.5,12.6,6.4,2.6,3.0,5.1,5.2,105.9,57.5,184.17391304347828
道南,渡島,旧八雲町（現八雲町）,内道内客,15.3,60.4,25.1,47.6,59.5,32.9,31.8,16.4,8.9,10.9,14.3,13.7,336.8,135.3,248.92830746489284
道南,渡島,旧八雲町（現八雲町）,内日帰客,17.6,64.2,30.4,60.4,73.7,44.4,40.4,20.7,10.2,12.2,18.0,17.4,409.6,179.6,228.06236080178178
道南,渡島,旧八雲町（現八雲町）,内宿泊客,1.6,3.9,2.7,3.9,6.0,3.0,4.0,2.1,1.3,1.7,1.4,1.5,33.1,13.2,250.75757575757578
道南,渡島,旧八雲町（現八雲町）,宿泊客延数,1.9,4.7,3.2,4.7,7.2,3.6,4.8,2.5,1.6,2.0,1.7,1.8,39.7,15.8,251.26582278481013
道南,渡島,長万部町,入込総数,41.2,96.6,76.4,64.2,74.7,98.5,79.1,56.8,39.5,23.3,27.7,33.9,711.9,749.0,95.04672897196261
道南,渡島,長万部町,内道外客,14.7,33.6,24.2,23.1,25.7,37.3,29.7,19.8,12.6,6.8,9.5,11.0,248.0,256.8,96.57320872274143
道南,渡島,長万部町,内道内客,26.5,63.0,52.2,41.1,49.0,61.2,49.4,37.0,26.9,16.5,18.2,22.9,463.9,492.2,94.25030475416497
道南,渡島,長万部町,内日帰客,38.4,93.8,74.1,62.1,72.2,96.3,76.8,55.0,37.9,21.6,26.1,32.2,686.5,723.8,94.84664271898315
道南,渡島,長万部町,内宿泊客,2.8,2.8,2.3,2.1,2.5,2.2,2.3,1.8,1.6,1.7,1.6,1.7,25.4,25.2,100.79365079365078
道南,渡島,長万部町,宿泊客延数,5.9,5.9,4.8,2.2,7.5,4.6,4.9,3.6,2.5,3.3,2.9,3.4,51.5,51.5,100.0
道南,檜山,江差町,入込総数,24.1,53.4,38.1,104.7,151.3,55.4,12.5,6.1,4.1,3.4,6.9,4.7,464.7,550.7,84.38351189395314
道南,檜山,江差町,内道外客,10.1,19.5,14.2,41.2,59.0,20.8,4.3,1.9,0.7,0.5,1.1,0.9,174.2,207.9,83.79028379028378
道南,檜山,江差町,内道内客,14.0,33.9,23.9,63.5,92.3,34.6,8.2,4.2,3.4,2.9,5.8,3.8,290.5,342.8,84.74329054842474
道南,檜山,江差町,内日帰客,20.1,48.0,33.7,97.9,143.2,49.0,10.8,4.7,3.0,2.5,5.6,3.7,422.2,505.7,83.48823413090766
道南,檜山,江差町,内宿泊客,4.0,5.4,4.4,6.8,8.1,6.4,1.7,1.4,1.1,0.9,1.3,1.0,42.5,45.0,94.44444444444444
道南,檜山,江差町,宿泊客延数,4.0,5.4,4.4,6.8,8.1,6.4,1.7,1.4,1.1,0.9,1.3,1.0,42.5,45.0,94.44444444444444
道南,檜山,上ノ国町,入込総数,6.3,23.9,10.2,10.0,17.3,9.0,7.8,4.6,3.5,3.5,3.8,5.1,105.0,115.9,90.595340811044
道南,檜山,上ノ国町,内道外客,0.9,7.2,2.0,2.0,5.2,1.8,0.8,0.2,0.2,0.2,0.2,0.3,21.0,20.4,102.94117647058825
道南,檜山,上ノ国町,内道内客,5.4,16.7,8.2,8.0,12.1,7.2,7.0,4.4,3.3,3.3,3.6,4.8,84.0,95.5,87.95811518324608
道南,檜山,上ノ国町,内日帰客,6.2,23.6,9.9,9.7,17.0,8.8,7.6,4.4,3.3,3.4,3.7,4.9,102.5,114.2,89.75481611208406
道南,檜山,上ノ国町,内宿泊客,0.1,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.2,2.5,1.7,147.05882352941177
道南,檜山,上ノ国町,宿泊客延数,0.1,0.4,0.5,0.5,0.5,0.4,0.6,0.5,0.6,0.2,0.2,0.2,4.7,2.5,188.0
道南,檜山,厚沢部町,入込総数,9.2,16.8,9.6,18.4,20.1,11.9,16.2,11.3,7.1,7.1,6.3,7.7,141.7,141.9,99.85905567300915
道南,檜山,厚沢部町,内道外客,0.2,0.7,0.2,1.0,1.0,0.5,0.9,0.2,0.1,0.1,0.1,0.1,5.1,3.5,145.7142857142857
道南,檜山,厚沢部町,内道内客,9.0,16.1,9.4,17.4,19.1,11.4,15.3,11.1,7.0,7.0,6.2,7.6,136.6,138.4,98.69942196531791
道南,檜山,厚沢部町,内日帰客,8.6,15.6,9.0,16.4,17.1,10.8,14.5,10.6,6.7,6.7,5.9,7.3,129.2,129.6,99.69135802469135
道南,檜山,厚沢部町,内宿泊客,0.6,1.2,0.6,2.0,3.0,1.1,1.7,0.7,0.4,0.4,0.4,0.4,12.5,12.3,101.62601626016259
道南,檜山,厚沢部町,宿泊客延数,1.1,2.2,0.9,3.6,5.6,1.9,2.2,0.9,0.6,0.6,0.5,0.5,20.6,22.6,91.1504424778761
道南,檜山,乙部町,入込総数,10.6,23.2,12.7,25.6,50.5,13.5,11.1,7.6,6.0,5.7,5.0,6.0,177.5,190.3,93.27377824487651
道南,檜山,乙部町,内道外客,2.5,5.5,3.0,6.0,11.9,3.2,2.6,1.8,1.4,1.3,1.2,1.4,41.8,44.9,93.0957683741648
道南,檜山,乙部町,内道内客,8.1,17.7,9.7,19.6,38.6,10.3,8.5,5.8,4.6,4.4,3.8,4.6,135.7,145.4,93.32874828060521
道南,檜山,乙部町,内日帰客,9.9,22.3,12.0,24.6,49.2,12.7,10.0,6.6,5.4,5.2,4.4,5.5,167.8,179.0,93.74301675977654
道南,檜山,乙部町,内宿泊客,0.7,0.9,0.7,1.0,1.3,0.8,1.1,1.0,0.6,0.5,0.6,0.5,9.7,11.3,85.84070796460176
道南,檜山,乙部町,宿泊客延数,0.8,1.0,0.7,1.1,1.4,0.9,1.3,1.2,0.7,0.6,0.8,0.6,11.1,13.5,82.22222222222221
道南,檜山,奥尻町,入込総数,2.3,7.1,6.2,9.6,10.3,5.3,4.1,1.5,1.2,0.9,0.8,1.2,50.5,52.6,96.00760456273764
