area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道央,空知,夕張市,入込総数,27.4,49.5,49.6,74.2,79.0,53.8,69.4,23.0,41.5,56.0,58.1,40.6,622.1,623.6999999999999,99.74346641013308
道央,空知,夕張市,内道外客,1.6,3.1,3.1,4.7,5.1,3.6,4.4,1.5,2.6,3.5,3.7,2.7,39.60000000000001,38.199999999999996,103.66492146596862
道央,空知,夕張市,内道内客,25.799999999999997,46.4,46.5,69.5,73.9,50.199999999999996,65.0,21.5,38.9,52.5,54.4,37.9,582.5,585.5,99.48761742100768
道央,空知,夕張市,内日帰客,22.299999999999997,44.7,43.5,62.1,65.9,45.5,63.900000000000006,20.3,37.1,47.2,51.7,32.2,536.4,516.4,103.87296669248644
道央,空知,夕張市,内宿泊客,5.1,4.8,6.1,12.1,13.1,8.3,5.5,2.7,4.4,8.8,6.4,8.4,85.70000000000002,107.29999999999998,79.86952469711093
道央,空知,夕張市,宿泊客延数,5.4,5.4,6.6,13.0,14.1,9.0,5.9,2.9,6.1,12.6,9.1,8.8,98.89999999999998,133.8,73.91629297458891
道央,空知,岩見沢市,入込総数,37.2,98.7,85.2,301.4,173.3,134.8,50.6,26.6,30.5,76.0,71.6,29.4,1115.3,1152.3999999999999,96.78063172509546
道央,空知,岩見沢市,内道外客,1.3,3.6,2.9,9.4,6.3,4.9,1.8,1.2,0.8,1.4,1.5,1.0,36.1,34.900000000000006,103.43839541547277
道央,空知,岩見沢市,内道内客,35.900000000000006,95.10000000000001,82.3,292.0,167.0,129.9,48.800000000000004,25.400000000000002,29.7,74.6,70.1,28.4,1079.2,1117.5,96.57270693512304
道央,空知,岩見沢市,内日帰客,34.300000000000004,95.10000000000001,80.5,296.2,167.5,129.8,46.5,23.1,27.2,72.7,68.19999999999999,26.299999999999997,1067.4,1106.5,96.46633529145957
道央,空知,岩見沢市,内宿泊客,2.9,3.6,4.7,5.2,5.8,5.0,4.1,3.5,3.3,3.3,3.4,3.1,47.89999999999999,45.9,104.35729847494552
道央,空知,岩見沢市,宿泊客延数,3.7,4.3,5.7,5.9,6.8,6.5,6.1,4.8,4.4,4.6,4.6,4.2,61.60000000000001,62.300000000000004,98.87640449438203
道央,空知,美唄市,入込総数,20.6,34.6,27.6,58.3,29.8,30.1,26.4,15.7,13.3,20.3,19.1,16.7,312.50000000000006,323.59999999999997,96.56983930778742
道央,空知,美唄市,内道外客,2.1,3.6,2.7,5.8,2.9,3.0,2.6,1.5,1.3,2.0,1.9,1.7,31.099999999999998,32.4,95.98765432098764
道央,空知,美唄市,内道内客,18.5,31.0,24.900000000000002,52.5,26.900000000000002,27.1,23.799999999999997,14.2,12.0,18.3,17.200000000000003,15.0,281.4,291.20000000000005,96.63461538461536
道央,空知,美唄市,内日帰客,19.5,32.9,25.6,56.3,27.400000000000002,28.0,23.7,13.7,11.8,18.7,17.900000000000002,14.899999999999999,290.4,299.6,96.92923898531373
道央,空知,美唄市,内宿泊客,1.1,1.7,2.0,2.0,2.4,2.1,2.7,2.0,1.5,1.6,1.2,1.8,22.1,24.0,92.08333333333334
道央,空知,美唄市,宿泊客延数,1.1,1.7,2.0,2.0,2.4,2.1,2.7,2.0,1.5,1.6,1.2,1.8,22.1,24.0,92.08333333333334
道央,空知,芦別市,入込総数,34.7,68.5,67.4,124.8,114.9,65.9,59.4,32.0,31.0,67.6,47.2,42.5,755.9000000000001,796.7,94.87887536086357
道央,空知,芦別市,内道外客,0.1,0.3,0.5,3.6,2.7,0.8,0.3,0.1,0.1,1.1,0.7,0.2,10.499999999999998,9.299999999999997,112.90322580645163
道央,空知,芦別市,内道内客,34.6,68.2,66.9,121.2,112.2,65.10000000000001,59.1,31.9,30.9,66.5,46.5,42.3,745.4,787.4,94.66598933197866
道央,空知,芦別市,内日帰客,33.2,66.0,65.2,118.3,109.2,62.7,57.0,30.5,29.4,65.8,46.0,41.4,724.6999999999998,759.7,95.39291825720676
道央,空知,芦別市,内宿泊客,1.5,2.5,2.2,6.5,5.7,3.2,2.4,1.5,1.6,1.8,1.2,1.1,31.2,37.0,84.32432432432432
道央,空知,芦別市,宿泊客延数,1.5,2.5,2.2,6.6,5.8,3.3,2.4,1.5,1.6,1.8,1.2,1.1,31.500000000000004,37.0,85.13513513513514
道央,空知,赤平市,入込総数,20.7,12.4,15.0,55.6,26.6,14.3,14.6,9.2,9.1,12.0,9.4,10.9,209.8,212.2,98.86899151743638
道央,空知,赤平市,内道外客,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,100.0
道央,空知,赤平市,内道内客,20.7,12.4,15.0,55.5,26.5,14.3,14.6,9.2,9.1,12.0,9.4,10.9,209.6,212.0,98.86792452830188
道央,空知,赤平市,内日帰客,20.7,12.1,14.3,53.0,21.900000000000002,13.100000000000001,14.2,8.899999999999999,8.6,11.7,9.1,10.5,198.09999999999997,200.7,98.70453413054308
道央,空知,赤平市,内宿泊客,0.0,0.3,0.7,2.6,4.7,1.2,0.4,0.3,0.5,0.3,0.3,0.4,11.700000000000003,11.500000000000002,101.73913043478262
道央,空知,赤平市,宿泊客延数,0.0,0.3,0.7,2.6,4.7,1.2,0.4,0.3,0.5,0.3,0.3,0.4,11.700000000000003,11.500000000000002,101.73913043478262
道央,空知,三笠市,入込総数,54.0,107.0,90.2,111.7,147.5,90.7,84.0,49.2,35.2,40.3,32.7,38.0,880.5000000000001,908.1999999999999,96.95001101079059
道央,空知,三笠市,内道外客,3.8,7.5,6.3,7.8,10.3,6.3,5.9,3.4,2.5,2.8,2.3,2.7,61.599999999999994,63.60000000000001,96.85534591194967
道央,空知,三笠市,内道内客,50.2,99.5,83.9,103.9,137.2,84.4,78.1,45.800000000000004,32.7,37.5,30.400000000000002,35.3,818.9,844.5999999999999,96.95713947430737
道央,空知,三笠市,内日帰客,52.4,103.8,87.5,108.3,143.1,88.0,81.5,47.7,34.1,39.099999999999994,31.700000000000003,36.9,854.1000000000001,881.0,96.94665153234962
道央,空知,三笠市,内宿泊客,1.6,3.2,2.7,3.4,4.4,2.7,2.5,1.5,1.1,1.2,1.0,1.1,26.400000000000002,27.200000000000003,97.05882352941177
道央,空知,三笠市,宿泊客延数,1.6,3.2,2.7,3.4,4.4,2.7,2.5,1.5,1.1,1.2,1.0,1.1,26.400000000000002,27.200000000000003,97.05882352941177
道央,空知,滝川市,入込総数,39.3,70.2,135.4,57.6,110.0,62.7,48.9,34.9,26.3,27.5,26.4,29.9,669.0999999999999,750.7,89.13014519781535
道央,空知,滝川市,内道外客,4.4,7.9,9.8,8.5,10.1,7.1,5.4,3.7,2.7,2.7,2.1,3.1,67.5,74.7,90.36144578313252
道央,空知,滝川市,内道内客,34.9,62.300000000000004,125.60000000000001,49.1,99.9,55.6,43.5,31.2,23.6,24.8,24.299999999999997,26.799999999999997,601.5999999999999,675.9999999999999,88.99408284023669
道央,空知,滝川市,内日帰客,38.3,68.9,133.4,55.7,107.9,60.6,47.6,34.0,25.7,26.9,25.799999999999997,28.799999999999997,653.6,732.5999999999999,89.21648921648922
道央,空知,滝川市,内宿泊客,1.0,1.3,2.0,1.9,2.1,2.1,1.3,0.9,0.6,0.6,0.6,1.1,15.499999999999998,18.099999999999998,85.6353591160221
道央,空知,滝川市,宿泊客延数,1.3,1.7,2.5,2.3,2.7,2.6,1.5,1.0,0.7,0.7,0.7,1.5,19.2,21.0,91.42857142857143
道央,空知,砂川市,入込総数,73.3,147.9,140.6,165.5,196.6,149.6,136.5,68.2,55.3,54.6,94.5,84.7,1367.3,1375.0000000000002,99.43999999999998
