area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道南,渡島,函館市,入込総数,287.3,544.5,535.0,576.8,672.9,603.1,489.8,309.4,259.1,144.8,174.3,221.0,4818.0,4864.8,99.0379871731623
道南,渡島,函館市,内道外客,183.2,336.3,344.4,373.7,416.7,399.1,344.9,225.9,192.5,100.8,122.7,142.7,3182.9,3238.3,98.28922582836674
道南,渡島,函館市,内道内客,104.1,208.2,190.6,203.1,256.2,204.0,144.9,83.5,66.6,44.0,51.6,78.3,1635.1,1626.5,100.52874269904703
道南,渡島,函館市,内日帰客,145.5,225.4,224.1,246.9,229.8,239.2,160.1,67.0,63.8,33.5,32.7,82.7,1750.7,1756.9,99.64710569753544
道南,渡島,函館市,内宿泊客,141.8,319.1,310.9,329.9,443.1,363.9,329.7,242.4,195.3,111.3,141.6,138.3,3067.3,3107.9,98.6936516618939
道南,渡島,函館市,宿泊客延数,182.9,418.0,422.8,422.3,602.6,476.7,474.8,332.1,285.1,155.8,230.8,206.1,4210.0,4145.9,101.54610579126367
道南,渡島,松前町,入込総数,45.0,266.0,16.0,35.0,76.0,23.0,25.0,16.0,11.0,5.0,4.0,5.0,527.0,512.0,102.9296875
道南,渡島,松前町,内道外客,9.5,56.0,3.4,7.4,16.0,4.8,5.3,3.4,2.3,1.1,0.8,1.1,111.1,134.3,82.72524199553239
道南,渡島,松前町,内道内客,35.5,210.0,12.6,27.6,60.0,18.2,19.7,12.6,8.7,3.9,3.2,3.9,415.9,377.7,110.1138469684935
道南,渡島,松前町,内日帰客,41.2,233.0,14.3,31.9,67.2,20.9,19.9,13.5,9.1,4.4,3.4,3.2,462.0,434.8,106.2557497700092
道南,渡島,松前町,内宿泊客,3.8,33.0,1.7,3.1,8.8,2.1,5.1,2.5,1.9,0.6,0.6,1.8,65.0,77.2,84.19689119170984
道南,渡島,松前町,宿泊客延数,3.9,35.0,1.7,3.2,9.2,2.1,5.5,2.6,2.8,0.9,0.6,2.1,69.6,83.1,83.75451263537906
道南,渡島,福島町,入込総数,6.9,14.9,6.6,7.7,13.0,7.3,6.1,3.7,2.2,2.2,0.3,2.4,73.3,84.7,86.54073199527744
道南,渡島,福島町,内道外客,0.6,1.4,0.6,0.7,1.2,0.7,0.5,0.3,0.2,0.2,0.0,0.2,6.6,7.7,85.71428571428571
道南,渡島,福島町,内道内客,6.3,13.5,6.0,7.0,11.8,6.6,5.6,3.4,2.0,2.0,0.3,2.2,66.7,77.0,86.62337662337663
道南,渡島,福島町,内日帰客,6.7,14.5,6.5,7.5,12.7,7.1,6.0,3.6,2.2,2.2,0.3,2.4,71.7,82.9,86.48974668275031
道南,渡島,福島町,内宿泊客,0.2,0.4,0.1,0.2,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.0,1.6,1.8,88.8888888888889
道南,渡島,福島町,宿泊客延数,0.2,0.4,0.1,0.2,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.0,1.6,1.8,88.8888888888889
道南,渡島,知内町,入込総数,10.0,24.9,6.7,8.0,14.8,8.0,6.8,4.9,3.9,4.4,6.6,4.3,103.3,126.0,81.98412698412699
道南,渡島,知内町,内道外客,5.5,13.7,2.0,2.4,8.1,3.2,0.3,0.2,0.2,0.2,0.7,0.4,36.9,48.4,76.2396694214876
道南,渡島,知内町,内道内客,4.5,11.2,4.7,5.6,6.7,4.8,6.5,4.7,3.7,4.2,5.9,3.9,66.4,77.6,85.56701030927837
