area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道南,渡島,函館市,入込総数,319.7,616.0,581.6,635.8,723.7,624.6,512.9,292.8,239.1,135.0,173.3,213.1,5067.6,5247.9,96.56434002172298
道南,渡島,函館市,内道外客,209.3,390.7,383.9,418.9,459.8,427.6,364.2,211.7,177.0,93.5,123.2,138.0,3397.8,3519.5,96.54212246057679
道南,渡島,函館市,内道内客,110.4,225.3,197.7,216.9,263.9,197.0,148.7,81.1,62.1,41.5,50.1,75.1,1669.8,1728.4,96.60958111548253
道南,渡島,函館市,内日帰客,139.6,281.9,254.4,277.5,261.6,246.0,172.9,52.4,62.1,36.3,45.7,84.9,1915.3,1983.7,96.5518979684428
道南,渡島,函館市,内宿泊客,180.1,334.1,327.2,358.3,462.1,378.6,340.0,240.4,177.0,98.7,127.6,128.2,3152.3,3264.2,96.5719012315422
道南,渡島,函館市,宿泊客延数,217.9,400.9,399.2,447.9,573.0,458.1,418.2,293.3,212.4,120.7,158.2,159.0,3858.8,4019.2,96.00915605095543
道南,渡島,松前町,入込総数,49.2,265.4,15.9,34.1,76.9,23.1,23.5,16.5,11.0,4.0,3.9,6.5,530.0,580.5,91.30060292850992
道南,渡島,松前町,内道外客,9.8,85.8,3.7,8.8,18.2,4.2,4.7,2.8,1.7,0.6,0.5,1.2,142.0,155.8,91.14249037227214
道南,渡島,松前町,内道内客,39.4,179.6,12.2,25.3,58.7,18.9,18.8,13.7,9.3,3.4,3.4,5.3,388.0,424.7,91.35860607487638
道南,渡島,松前町,内日帰客,43.8,228.3,14.4,30.4,66.2,21.1,19.8,13.5,8.9,3.4,3.5,5.0,458.3,501.3,91.42230201476163
道南,渡島,松前町,内宿泊客,5.4,37.1,1.5,3.7,10.7,2.0,3.7,3.0,2.1,0.6,0.4,1.5,71.7,79.2,90.53030303030303
道南,渡島,松前町,宿泊客延数,5.6,39.9,1.5,4.0,11.3,2.0,4.0,3.1,2.3,0.8,0.4,1.7,76.6,84.0,91.19047619047619
道南,渡島,福島町,入込総数,3.8,11.5,3.8,7.5,13.3,6.4,3.7,3.3,1.3,1.7,1.3,1.6,59.2,69.9,84.69241773962804
道南,渡島,福島町,内道外客,0.5,1.8,0.5,1.3,2.5,1.0,0.5,0.4,0.1,0.2,0.1,0.1,9.0,11.9,75.63025210084034
道南,渡島,福島町,内道内客,3.3,9.7,3.3,6.2,10.8,5.4,3.2,2.9,1.2,1.5,1.2,1.5,50.2,58.0,86.55172413793105
道南,渡島,福島町,内日帰客,3.3,10.0,3.4,6.6,11.8,5.5,3.5,3.1,1.2,1.6,1.2,1.5,52.7,61.9,85.13731825525042
道南,渡島,福島町,内宿泊客,0.5,1.5,0.4,0.9,1.5,0.9,0.2,0.2,0.1,0.1,0.1,0.1,6.5,8.0,81.25
道南,渡島,福島町,宿泊客延数,0.6,1.6,0.5,1.1,1.7,1.0,0.3,0.3,0.2,0.2,0.2,0.2,7.9,9.2,85.86956521739133
