area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道央,空知,夕張市,入込総数,34.9,65.3,59.5,76.9,82.4,52.2,37.5,16.8,39.4,42.9,64.6,51.3,623.6999999999999,776.4999999999999,80.32195750160979
道央,空知,夕張市,内道外客,1.9,3.9,3.5,4.7,4.9,3.2,2.4,1.1,2.4,2.7,4.1,3.4,38.199999999999996,49.599999999999994,77.01612903225806
道央,空知,夕張市,内道内客,33.0,61.4,56.0,72.2,77.5,49.0,35.1,15.700000000000001,37.0,40.199999999999996,60.49999999999999,47.9,585.5,726.9,80.54753060943733
道央,空知,夕張市,内日帰客,28.8,60.0,54.7,67.4,68.8,46.2,33.5,15.200000000000001,3.1000000000000014,34.099999999999994,58.3,46.3,516.4,705.5999999999999,73.1859410430839
道央,空知,夕張市,内宿泊客,6.1,5.3,4.8,9.5,13.6,6.0,4.0,1.6,36.3,8.8,6.3,5.0,107.29999999999998,70.9,151.33991537376582
道央,空知,夕張市,宿泊客延数,6.5,6.1,5.2,10.3,14.6,7.5,4.3,1.7,50.8,12.6,8.9,5.3,133.8,82.19999999999999,162.77372262773727
道央,空知,岩見沢市,入込総数,50.2,115.8,70.2,277.4,190.0,171.3,52.2,26.5,28.6,76.5,66.4,27.3,1152.3999999999999,1127.5,102.20842572062084
道央,空知,岩見沢市,内道外客,1.8,4.2,2.4,7.9,6.3,4.7,2.2,1.2,1.1,1.2,1.2,0.7,34.900000000000006,34.300000000000004,101.74927113702626
道央,空知,岩見沢市,内道内客,48.4,111.6,67.8,269.5,183.7,166.6,50.0,25.3,27.5,75.3,65.2,26.6,1117.5,1093.2,102.22283205268934
道央,空知,岩見沢市,内日帰客,47.0,111.9,65.9,272.2,185.3,166.7,47.900000000000006,22.9,25.6,73.5,63.2,24.400000000000002,1106.5,1081.1000000000001,102.34945888446951
道央,空知,岩見沢市,内宿泊客,3.2,3.9,4.3,5.2,4.7,4.6,4.3,3.6,3.0,3.0,3.2,2.9,45.9,46.400000000000006,98.92241379310343
道央,空知,岩見沢市,宿泊客延数,4.7,5.3,5.2,6.2,6.6,5.6,5.9,5.4,4.7,4.4,4.2,4.1,62.300000000000004,54.699999999999996,113.89396709323584
道央,空知,美唄市,入込総数,22.8,54.7,32.5,29.5,32.6,30.0,30.1,17.1,14.4,22.3,21.2,16.4,323.59999999999997,323.69999999999993,99.96910719802287
道央,空知,美唄市,内道外客,2.3,5.5,3.3,3.0,3.3,3.0,3.0,1.7,1.4,2.2,2.1,1.6,32.4,32.5,99.6923076923077
道央,空知,美唄市,内道内客,20.5,49.2,29.2,26.5,29.3,27.0,27.1,15.400000000000002,13.0,20.1,19.099999999999998,14.799999999999999,291.20000000000005,291.2,100.00000000000003
道央,空知,美唄市,内日帰客,21.4,52.8,30.4,27.5,30.3,27.3,27.400000000000002,15.100000000000001,12.9,20.5,19.4,14.599999999999998,299.6,298.90000000000003,100.23419203747072
道央,空知,美唄市,内宿泊客,1.4,1.9,2.1,2.0,2.3,2.7,2.7,2.0,1.5,1.8,1.8,1.8,24.0,24.799999999999997,96.77419354838712
道央,空知,美唄市,宿泊客延数,1.4,1.9,2.1,2.0,2.3,2.7,2.7,2.0,1.5,1.8,1.8,1.8,24.0,24.799999999999997,96.77419354838712
道央,空知,芦別市,入込総数,36.0,77.9,72.3,122.8,137.1,65.6,57.3,35.8,30.7,74.1,48.4,38.7,796.7,880.4000000000001,90.49295774647887
道央,空知,芦別市,内道外客,0.1,0.2,0.6,3.4,2.9,0.8,0.5,0.2,0.2,0.1,0.1,0.2,9.299999999999997,6.499999999999999,143.07692307692307
道央,空知,芦別市,内道内客,35.9,77.7,71.7,119.4,134.2,64.8,56.8,35.599999999999994,30.5,74.0,48.3,38.5,787.4,873.9,90.10184231605447
道央,空知,芦別市,内日帰客,34.6,75.9,69.4,118.3,129.5,61.6,54.199999999999996,33.4,28.4,71.5,46.699999999999996,36.2,759.7,838.5,90.60226595110316
道央,空知,芦別市,内宿泊客,1.4,2.0,2.9,4.5,7.6,4.0,3.1,2.4,2.3,2.6,1.7,2.5,37.0,41.900000000000006,88.30548926014319
道央,空知,芦別市,宿泊客延数,1.4,2.0,2.9,4.5,7.6,4.0,3.1,2.4,2.3,2.6,1.7,2.5,37.0,41.900000000000006,88.30548926014319
道央,空知,赤平市,入込総数,21.6,13.2,14.6,52.7,27.1,14.4,16.9,9.1,9.4,13.0,9.7,10.5,212.2,208.6,101.72579098753596
道央,空知,赤平市,内道外客,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,100.0
