area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道央,空知,夕張市,入込総数,22.7,45.6,42.2,47.9,53.9,38.6,60.1,15.5,29.6,52.7,39.6,40.7,489.1,551.2,88.733672
道央,空知,夕張市,内道外客,1.3,2.9,2.6,3.1,3.5,2.6,3.8,1,1.8,3.3,2.5,2.7,31.1,34.9,89.111748
道央,空知,夕張市,内道内客,21.4,42.7,39.6,44.8,50.4,36,56.3,14.5,27.8,49.4,37.1,38,458,516.3,88.708115
道央,空知,夕張市,内日帰客,16,39.3,34.6,38.7,43.8,32.6,54.3,14,24.7,43.8,33.3,36.6,411.7,465.9,88.366602
道央,空知,夕張市,内宿泊客,6.7,6.3,7.6,9.2,10.1,6,5.8,1.5,4.9,8.9,6.3,4.1,77.4,85.3,90.73857
道央,空知,夕張市,宿泊客延数,7.1,7.1,8.2,9.9,10.8,6.5,6.2,1.6,6.9,12.7,9,4.3,90.3,99.2,91.028226
道央,空知,岩見沢市,入込総数,35.5,152.6,78.9,272.7,173.7,183.2,49.5,24.8,32.4,80.9,78.8,31.9,1194.9,1290.8,92.570499
道央,空知,岩見沢市,内道外客,2.8,7.1,4.2,10.1,7.5,6.6,2.7,1.7,1.7,1.9,8.9,1.5,56.7,56.2,100.88968
道央,空知,岩見沢市,内道内客,32.7,145.5,74.7,262.6,166.2,176.6,46.8,23.1,30.7,79,69.9,30.4,1138.2,1234.6,92.191803
道央,空知,岩見沢市,内日帰客,30.5,147.1,72.8,266.6,167.8,177.2,44.3,20.6,28.5,77.3,75.2,27.8,1135.7,1228.7,92.431025
道央,空知,岩見沢市,内宿泊客,5,5.5,6.1,6.1,5.9,6,5.2,4.2,3.9,3.6,3.6,4.1,59.2,62.1,95.330113
道央,空知,岩見沢市,宿泊客延数,5.7,6.7,7,7.3,7.6,7.2,7,5.6,4.9,4.7,4.9,5.2,73.8,77.1,95.719844
道央,空知,美唄市,入込総数,19.3,47.3,26.8,28.6,30.9,31.7,29.3,19.7,11.9,20.7,17.4,17.2,300.8,302.7,99.372316
道央,空知,美唄市,内道外客,1.9,4.7,2.7,2.9,3.1,3.1,2.9,1.9,1.2,2.1,1.7,1.7,29.9,30.2,99.006623
道央,空知,美唄市,内道内客,17.4,42.6,24.1,25.7,27.8,28.6,26.4,17.8,10.7,18.6,15.7,15.5,270.9,272.5,99.412844
道央,空知,美唄市,内日帰客,17.9,45.2,24.5,26.2,28.2,29.4,26.6,17.6,10.5,19.2,15.9,15.6,276.8,278.8,99.28264
道央,空知,美唄市,内宿泊客,1.4,2.1,2.3,2.4,2.7,2.3,2.7,2.1,1.4,1.5,1.5,1.6,24,23.9,100.41841
道央,空知,美唄市,宿泊客延数,1.4,2.1,2.3,2.4,2.7,2.3,2.7,2.1,1.4,1.5,1.5,1.6,24,23.9,100.41841
道央,空知,芦別市,入込総数,43.6,104.5,89.4,148.1,138.1,86.1,80,34.2,31,66.4,43.8,44.4,909.6,856.3,106.224454
道央,空知,芦別市,内道外客,0.2,0.5,1.5,10.3,4,1.2,0.5,0.2,0.2,0.8,0.6,0.2,20.2,15.2,132.894737
道央,空知,芦別市,内道内客,43.4,104,87.9,137.8,134.1,84.9,79.5,34,30.8,65.6,43.2,44.2,889.4,841.1,105.74248
道央,空知,芦別市,内日帰客,42.2,102.2,86.8,142.5,131.7,82.8,79.7,34.1,30.8,66.2,43.7,44.3,887,822.7,107.815729
道央,空知,芦別市,内宿泊客,1.4,2.3,2.6,5.6,6.4,3.3,0.3,0.1,0.2,0.2,0.1,0.1,22.6,33.6,67.261905
道央,空知,芦別市,宿泊客延数,1.4,2.3,2.6,5.8,6.6,3.4,0.3,0.1,0.2,0.2,0.1,0.1,23.1,34.2,67.54386
道央,空知,赤平市,入込総数,21.1,16.3,13.5,54.5,32.9,17.3,16.6,9.9,10.6,13.2,10.5,13,229.4,200.9,114.186162
道央,空知,赤平市,内道外客,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0.2,0.2,100
道央,空知,赤平市,内道内客,21.1,16.3,13.5,54.4,32.8,17.3,16.6,9.9,10.6,13.2,10.5,13,229.2,200.7,114.200299
道央,空知,赤平市,内日帰客,20.9,15.7,12.9,51.8,28.1,15.8,15.9,9.8,10.3,12.8,10.3,12.5,216.8,187.8,115.44196
道央,空知,赤平市,内宿泊客,0.2,0.6,0.6,2.7,4.8,1.5,0.7,0.1,0.3,0.4,0.2,0.5,12.6,13.1,96.183206
