area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道北,宗谷,幌延町,内日帰客,1.6,6.4,11.1,18.3,33.8,13.6,2.100,1.500,3.900,1.300,1.100,2.200,96.9,93.6,103.525641,
道北,宗谷,幌延町,内宿泊客,1.1,2.4,2.7,2.9,3.4,3.1,1.900,1.700,0.300,0.100,0.500,0.200,20.3,19,106.842105,
道北,宗谷,幌延町,宿泊客延数,1.1,2.4,2.7,2.9,3.4,3.1,1.900,1.700,0.300,0.100,0.500,0.200,20.3,19,106.842105,
道北,宗谷,猿払村,入込総数,12.7,22.6,24.9,33.2,21.6,19.2,17.800,15.700,8.600,5.100,5.300,7.100,193.8,181.2,106.953642,
道北,宗谷,猿払村,内道外客,0.4,2.3,3.9,3.6,3.1,3.4,3.100,1.900,0.700,0.300,0.500,0.800,24,23,104.347826,
道北,宗谷,猿払村,内道内客,12.3,20.3,21,29.6,18.5,15.8,14.700,13.800,7.900,4.800,4.800,6.300,169.8,158.2,107.332491,
道北,宗谷,猿払村,内日帰客,12.2,21.6,22.8,30.7,19.3,17.2,16.100,14.000,7.300,4.300,4.500,6.300,176.3,163.8,107.631258,
道北,宗谷,猿払村,内宿泊客,0.5,1,2.1,2.5,2.3,2,1.700,1.700,1.300,0.800,0.800,0.800,17.5,17.4,100.574713,
道北,宗谷,猿払村,宿泊客延数,0.5,1,2.1,2.5,2.3,2,1.700,1.700,1.300,0.800,0.800,0.800,17.5,17.4,100.574713,
道北,宗谷,浜頓別町,入込総数,5,8.5,16.1,35.5,24.3,17.1,10.300,7.600,6.900,3.300,5.300,7.300,147.2,156,94.358974,
道北,宗谷,浜頓別町,内道外客,2.9,5,9.4,20.7,14.2,10,6.000,4.400,4.000,1.900,3.000,4.200,85.7,90.8,94.38326,
道北,宗谷,浜頓別町,内道内客,2.1,3.5,6.7,14.8,10.1,7.1,4.300,3.200,2.900,1.400,2.300,3.100,61.5,65.2,94.325153,
道北,宗谷,浜頓別町,内日帰客,4,7.2,14.4,33.4,22.2,15.3,8.700,6.500,5.700,2.600,4.300,6.200,130.5,140.2,93.081312,
道北,宗谷,浜頓別町,内宿泊客,1,1.3,1.7,2.1,2.1,1.8,1.600,1.100,1.200,0.700,1.000,1.100,16.7,15.8,105.696203,
道北,宗谷,浜頓別町,宿泊客延数,1.4,1.6,2.1,2.5,2.5,2.3,1.700,1.300,1.200,0.900,1.200,1.200,19.9,20.4,97.54902,
