area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道央,空知,夕張市,入込総数,31.0,90.5,92.0,112.3,117.7,69.9,73.4,16.7,23.2,53.0,63.6,28.2,771.5000000000001,934.1,0.8259287014238306
道央,空知,夕張市,内道外客,1.7,5.4,5.4,6.8,7.1,4.3,4.7,1.1,1.4,3.3,4.0,1.9,47.099999999999994,50.6,0.9308300395256915
道央,空知,夕張市,内道内客,29.3,85.1,86.6,105.5,110.60000000000001,65.60000000000001,68.7,15.6,21.8,49.7,59.6,26.3,724.4000000000001,883.5,0.8199207696661008
道央,空知,夕張市,内日帰客,24.9,85.9,85.0,101.89999999999999,105.8,65.4,70.10000000000001,15.0,20.2,46.8,57.9,25.2,704.1,866.1,0.8129546241773468
道央,空知,夕張市,内宿泊客,6.1,4.6,7.0,10.4,11.9,4.5,3.3,1.7,3.0,6.2,5.7,3.0,67.4,68.0,0.9911764705882353
道央,空知,夕張市,宿泊客延数,6.5,5.2,7.6,11.2,12.8,4.9,3.6,1.8,4.2,8.8,8.1,3.1,77.79999999999998,78.7,0.9885641677255398
道央,空知,岩見沢市,入込総数,31.5,163.4,58.2,283.2,169.3,189.6,58.1,28.1,23.7,67.9,68.6,29.0,1170.6,1125.5,1.040071079520213
道央,空知,岩見沢市,内道外客,1.4,6.5,2.4,8.2,5.7,5.7,1.1,0.5,0.5,1.0,1.0,0.6,34.6,32.6,1.0613496932515338
道央,空知,岩見沢市,内道内客,30.1,156.9,55.800000000000004,275.0,163.60000000000002,183.9,57.0,27.6,23.2,66.9,67.6,28.4,1136.0,1092.9,1.039436361972733
道央,空知,岩見沢市,内日帰客,28.7,159.1,54.900000000000006,279.0,165.20000000000002,185.29999999999998,53.7,24.8,20.599999999999998,64.10000000000001,64.3,25.5,1125.2,1082.0,1.0399260628465805
道央,空知,岩見沢市,内宿泊客,2.8,4.3,3.3,4.2,4.1,4.3,4.4,3.3,3.1,3.8,4.3,3.5,45.39999999999999,43.5,1.04367816091954
道央,空知,岩見沢市,宿泊客延数,3.4,4.9,3.8,4.9,4.6,5.0,4.5,3.3,3.2,3.9,4.5,3.7,49.7,51.0,0.9745098039215687
道央,空知,美唄市,入込総数,34.7,45.4,28.9,38.9,43.1,45.7,36.6,17.6,13.7,20.7,20.9,19.8,366.0,362.3,1.0102125310516146
道央,空知,美唄市,内道外客,3.5,4.5,2.9,3.9,4.3,4.6,3.7,1.8,1.4,2.1,2.1,2.0,36.800000000000004,25.1,1.4661354581673307
道央,空知,美唄市,内道内客,31.200000000000003,40.9,26.0,35.0,38.800000000000004,41.1,32.9,15.8,12.299999999999999,18.599999999999998,18.799999999999997,17.8,329.20000000000005,337.2,0.9762752075919338
道央,空知,美唄市,内日帰客,33.2,43.6,26.7,36.5,40.6,43.1,33.800000000000004,15.8,12.2,18.7,19.299999999999997,17.8,341.3,337.3,1.0118588793359027
道央,空知,美唄市,内宿泊客,1.5,1.8,2.2,2.4,2.5,2.6,2.8,1.8,1.5,2.0,1.6,2.0,24.700000000000003,25.0,0.9880000000000001
道央,空知,美唄市,宿泊客延数,1.5,1.8,2.2,2.4,2.5,2.6,2.8,1.8,1.5,2.0,1.6,2.0,24.700000000000003,25.5,0.9686274509803923
道央,空知,芦別市,入込総数,33.9,85.7,68.8,131.7,138.4,75.5,78.8,43.4,29.1,87.7,73.1,53.7,899.8000000000001,852.6,1.0553600750645087
道央,空知,芦別市,内道外客,0.2,0.6,0.7,5.0,4.0,1.3,0.8,0.6,0.3,0.4,0.4,0.3,14.600000000000003,15.2,0.9605263157894739
道央,空知,芦別市,内道内客,33.699999999999996,85.10000000000001,68.1,126.69999999999999,134.4,74.2,78.0,42.8,28.8,87.3,72.69999999999999,53.400000000000006,885.1999999999999,837.4,1.0570814425603057
道央,空知,芦別市,内日帰客,31.9,81.3,64.6,122.6,130.8,71.0,73.39999999999999,40.9,26.6,83.3,70.3,50.7,847.4,764.2,1.1088720230306202
道央,空知,芦別市,内宿泊客,2.0,4.4,4.2,9.1,7.6,4.5,5.4,2.5,2.5,4.4,2.8,3.0,52.4,88.4,0.592760180995475
道央,空知,芦別市,宿泊客延数,2.0,4.4,4.2,9.1,7.6,4.5,5.4,2.5,2.5,4.4,2.8,3.0,52.4,88.4,0.592760180995475
道央,空知,赤平市,入込総数,20.7,14.0,15.4,35.8,26.0,15.7,16.3,11.0,9.9,12.2,10.5,10.6,198.1,181.2,1.0932671081677705
道央,空知,赤平市,内道外客,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.0
道央,空知,赤平市,内道内客,20.7,14.0,15.4,35.699999999999996,25.9,15.7,16.3,11.0,9.9,12.2,10.5,10.6,197.89999999999998,181.0,1.0933701657458563
道央,空知,赤平市,内日帰客,20.599999999999998,13.5,14.8,33.9,22.3,14.399999999999999,15.8,10.8,9.5,11.899999999999999,10.3,10.4,188.20000000000002,170.6,1.1031652989449006
道央,空知,赤平市,内宿泊客,0.1,0.5,0.6,1.9,3.7,1.3,0.5,0.2,0.4,0.3,0.2,0.2,9.899999999999999,10.6,0.9339622641509433
