area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道央,空知,三笠市,入込総数,92.7,135,112.8,199.2,235.1,158.8,125.1,68.7,52,61.6,53.9,71.2,1366.1,1283.4,106.4,
道央,空知,三笠市,内道外客,6.5,9.5,7.9,13.9,16.5,11.1,8.8,4.8,3.6,4.3,3.8,5,95.7,89.9,106.5,
道央,空知,三笠市,内道内客,86.2,125.5,104.9,185.3,218.6,147.7,116.3,63.9,48.4,57.3,50.1,66.2,1270.4,1193.5,106.4,
道央,空知,三笠市,内日帰客,90.8,132.8,110.5,196.4,232,156.7,122.8,66.5,50,59.4,51.8,69.2,1338.9,1257.9,106.4,
道央,空知,三笠市,内宿泊客,1.9,2.2,2.3,2.8,3.1,2.1,2.3,2.2,2,2.2,2.1,2,27.2,25.5,106.7,
道央,空知,三笠市,宿泊客延数,1.9,2.2,2.3,2.8,3.1,2.1,2.3,2.2,2,2.2,2.1,2,27.2,25.5,106.7,
道央,空知,滝川市,入込総数,38.9,164.4,58.7,70.9,85.4,50.8,38.2,24,29,28.7,31.4,35.2,655.6,661.2,99.2,
道央,空知,滝川市,内道外客,4.9,12.7,6.7,10.6,10,6.5,5,3.4,3.7,3.9,3.3,4.5,75.2,66.2,113.6,
道央,空知,滝川市,内道内客,34,151.7,52,60.3,75.4,44.3,33.2,20.6,25.3,24.8,28.1,30.7,580.4,595,97.5,
道央,空知,滝川市,内日帰客,38.1,163.3,57.1,68.1,82.6,49.2,36.7,22.9,27.8,27.5,30.3,34.2,637.8,642.7,99.2,
道央,空知,滝川市,内宿泊客,0.8,1.1,1.6,2.8,2.8,1.6,1.5,1.1,1.2,1.2,1.1,1,17.8,18.5,96.2,
道央,空知,滝川市,宿泊客延数,0.9,1.2,1.9,3.6,3.2,1.8,1.8,1.4,1.4,1.5,1.3,1.3,21.3,22.8,93.4,
道央,空知,砂川市,入込総数,108.7,182.2,153.1,198.8,252.2,149.5,124,79.3,70.8,86.2,110.2,107.7,1622.7,1412.7,114.9,
道央,空知,砂川市,内道外客,22.2,38.4,33.5,44.8,56.5,32.4,26.1,16.5,15.2,17.8,22.8,21,347.2,324.8,106.9,
道央,空知,砂川市,内道内客,86.5,143.8,119.6,154,195.7,117.1,97.9,62.8,55.6,68.4,87.4,86.7,1275.5,1087.9,117.2,
道央,空知,砂川市,内日帰客,108.4,181.1,151.7,196.3,250.5,148.5,123.1,78.8,70.3,84.7,109.9,106.6,1609.9,1400.1,115,
道央,空知,砂川市,内宿泊客,0.3,1.1,1.4,2.5,1.7,1,0.9,0.5,0.5,1.5,0.3,1.1,12.8,12.6,101.6,
道央,空知,砂川市,宿泊客延数,0.5,1.2,1.5,2.7,2.1,1.1,0.9,0.5,0.5,1.8,0.5,1.1,14.4,14.7,98,
道央,空知,歌志内市,入込総数,23.6,29.3,23.7,29.4,36.8,27.5,25.2,17,29,40.8,39.7,11.2,333.2,349.3,95.4,
道央,空知,歌志内市,内道外客,0.1,0.1,0.2,0.3,0.3,0.1,0.2,0.1,0.4,0.3,0.2,0.1,2.4,2.6,92.3,
道央,空知,歌志内市,内道内客,23.5,29.2,23.5,29.1,36.5,27.4,25,16.9,28.6,40.5,39.5,11.1,330.8,346.7,95.4,
道央,空知,歌志内市,内日帰客,23,28.3,22.5,27.6,34.6,26.6,24,16.5,26.2,38.8,38.5,10.6,317.2,332.7,95.3,
道央,空知,歌志内市,内宿泊客,0.6,1,1.2,1.8,2.2,0.9,1.2,0.5,2.8,2,1.2,0.6,16,16.6,96.4,
道央,空知,歌志内市,宿泊客延数,0.6,1,1.2,1.8,2.2,0.9,1.2,0.5,2.8,2,1.2,0.6,16,16.6,96.4,
道央,空知,深川市,入込総数,63.1,87.6,82.1,129.8,120.1,89.8,82.1,58,40.6,41.3,58.4,54.4,907.3,938.5,96.7,
道央,空知,深川市,内道外客,5.8,7.9,7.5,9.5,12.9,8.5,7.4,5.1,3.5,3.5,3.3,4.8,79.7,83.4,95.6,
道央,空知,深川市,内道内客,57.3,79.7,74.6,120.3,107.2,81.3,74.7,52.9,37.1,37.8,55.1,49.6,827.6,855.1,96.8,
道央,空知,深川市,内日帰客,62.6,86.6,81.2,127.4,114.6,87.7,81.3,56.3,39.8,40.5,57.9,53.7,889.6,923.3,96.4,
道央,空知,深川市,内宿泊客,0.5,1,0.9,2.4,5.5,2.1,0.8,1.7,0.8,0.8,0.5,0.7,17.7,15.2,116.4,
道央,空知,深川市,宿泊客延数,0.5,1.2,1.1,2.6,6.1,2.4,0.9,1.9,0.9,0.8,0.5,0.8,19.7,16.9,116.6,
道央,空知,南幌町,入込総数,23.4,30.2,27.6,26.3,26.3,25.1,25.4,19.7,14.1,18.6,15.4,19.7,271.8,241.6,112.5,
道央,空知,南幌町,内道外客,0,0,0,0,0,0,0,0,0,0,0,0,0,0,－,
道央,空知,南幌町,内道内客,23.4,30.2,27.6,26.3,26.3,25.1,25.4,19.7,14.1,18.6,15.4,19.7,271.8,241.6,112.5,
道央,空知,南幌町,内日帰客,22.1,28.9,25.6,23.4,22.7,22.6,23.4,18,13.1,17.5,14.4,18.6,250.3,222.1,112.7,
道央,空知,南幌町,内宿泊客,1.3,1.3,2,2.9,3.6,2.5,2,1.7,1,1.1,1,1.1,21.5,19.5,110.3,
道央,空知,南幌町,宿泊客延数,1.3,1.3,2,2.9,3.6,2.5,2,1.7,1,1.1,1,1.1,21.5,19.5,110.3,
道央,空知,奈井江町,入込総数,19.7,28.6,24.2,25.5,34.7,26.5,23.3,17.9,15.4,13.3,12.9,15.8,257.8,184.9,139.4,
道央,空知,奈井江町,内道外客,0.2,0.3,0.3,0.3,0.4,0.1,0.4,0.3,0.2,0.2,0.2,0.1,3,1.5,200,
道央,空知,奈井江町,内道内客,19.5,28.3,23.9,25.2,34.3,26.4,22.9,17.6,15.2,13.1,12.7,15.7,254.8,183.4,138.9,
道央,空知,奈井江町,内日帰客,19.2,28.1,23.5,24.8,33.9,25.8,22.5,17.3,15,12.9,12.5,15.4,250.9,183.3,136.9,
道央,空知,奈井江町,内宿泊客,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.6,0.4,0.4,0.4,0.4,6.9,1.6,431.3,
道央,空知,奈井江町,宿泊客延数,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.6,0.4,0.4,0.4,0.4,6.9,1.6,431.3,
道央,空知,上砂川町,入込総数,6.7,6.9,7.4,7.6,13.1,6.9,6.9,6.5,6.7,7,6.2,8,89.9,97.4,92.3,
道央,空知,上砂川町,内道外客,0.1,0.1,0.1,0.2,0.4,0.1,0.1,0.1,0.2,0.2,0.1,0.1,1.8,1.9,94.7,
道央,空知,上砂川町,内道内客,6.6,6.8,7.3,7.4,12.7,6.8,6.8,6.4,6.5,6.8,6.1,7.9,88.1,95.5,92.3,
道央,空知,上砂川町,内日帰客,6.3,6.3,6.7,6.5,12.1,6.2,6.4,6.2,6.3,6.5,5.8,7.6,82.9,90.2,91.9,
道央,空知,上砂川町,内宿泊客,0.4,0.6,0.7,1.1,1,0.7,0.5,0.3,0.4,0.5,0.4,0.4,7,7.2,97.2,
道央,空知,上砂川町,宿泊客延数,0.5,0.7,0.8,1.3,1.2,0.8,0.6,0.4,0.5,0.6,0.5,0.5,8.4,8.6,97.7,
道央,空知,由仁町,入込総数,25.6,39.1,41.1,43.1,42.1,32.1,32,18.5,12.1,13.5,12.8,17.3,329.3,337.8,97.5,
道央,空知,由仁町,内道外客,0.7,2.5,4.2,4.2,3.6,2,1.2,0.2,0,0.1,0.1,0.1,18.9,17.9,105.6,
道央,空知,由仁町,内道内客,24.9,36.6,36.9,38.9,38.5,30.1,30.8,18.3,12.1,13.4,12.7,17.2,310.4,319.9,97,
道央,空知,由仁町,内日帰客,24.7,38.1,39.6,41.4,40,30.6,30.8,17.7,11.4,12.7,12.1,16.4,315.5,323.7,97.5,
道央,空知,由仁町,内宿泊客,0.9,1,1.5,1.7,2.1,1.5,1.2,0.8,0.7,0.8,0.7,0.9,13.8,14.1,97.9,
道央,空知,由仁町,宿泊客延数,0.9,1,1.5,1.7,2.1,1.5,1.2,0.8,0.7,0.8,0.7,0.9,13.8,14.1,97.9,
道央,空知,長沼町,入込総数,51.9,77.7,70.5,76.7,101.9,66.2,60.1,41.5,25.6,44.6,48.6,44.5,709.8,737.7,96.2,
道央,空知,長沼町,内道外客,0.2,1.1,1.4,2.4,2.6,1.2,1.1,0.2,0.1,0.1,0.1,0.1,10.6,14.6,72.6,
道央,空知,長沼町,内道内客,51.7,76.6,69.1,74.3,99.3,65,59,41.3,25.5,44.5,48.5,44.4,699.2,723.1,96.7,
道央,空知,長沼町,内日帰客,50.7,75.1,67.1,72,96.2,63,57.6,40.5,24.6,43.5,47.7,43.1,681.1,707.1,96.3,
道央,空知,長沼町,内宿泊客,1.2,2.6,3.4,4.7,5.7,3.2,2.5,1,1,1.1,0.9,1.4,28.7,30.6,93.8,
道央,空知,長沼町,宿泊客延数,1.3,2.7,3.4,5,6.1,3.4,4,1,1,1.1,0.9,1.4,31.3,32.3,96.9,
道央,空知,栗山町,入込総数,39.8,31.5,30.9,50.4,31.6,158.5,24.4,10.6,7.3,6.8,6.5,8.9,407.2,456.1,89.3,
道央,空知,栗山町,内道外客,0.4,0.9,1.3,0.5,0.6,0.3,0.3,0.2,0.2,0.1,0.2,0.5,5.5,5.1,107.8,
道央,空知,栗山町,内道内客,39.4,30.6,29.6,49.9,31,158.2,24.1,10.4,7.1,6.7,6.3,8.4,401.7,451,89.1,
道央,空知,栗山町,内日帰客,39,29.6,28.4,47.3,28.7,156.5,22.4,9.7,6.7,6.3,5.9,8,388.5,436.1,89.1,
道央,空知,栗山町,内宿泊客,0.8,1.9,2.5,3.1,2.9,2,2,0.9,0.6,0.5,0.6,0.9,18.7,20,93.5,
道央,空知,栗山町,宿泊客延数,0.8,1.9,2.5,3.1,2.9,2,2,0.9,0.6,0.5,0.6,0.9,18.7,20,93.5,
道央,空知,月形町,入込総数,6.8,10.7,10.6,24.3,14.4,8.9,9.1,6.5,5.6,5.9,5.2,6.9,114.9,122,94.2,
道央,空知,月形町,内道外客,0.3,0.5,0.5,0.7,0.7,0.5,0.4,0.3,0.2,0.2,0.2,0.3,4.8,5,96,
道央,空知,月形町,内道内客,6.5,10.2,10.1,23.6,13.7,8.4,8.7,6.2,5.4,5.7,5,6.6,110.1,117,94.1,
道央,空知,月形町,内日帰客,6.4,10.2,10.1,23.6,13.4,8.4,8.5,6.1,5,5.3,4.6,6.3,107.9,115.6,93.3,
道央,空知,月形町,内宿泊客,0.4,0.5,0.5,0.7,1,0.5,0.6,0.4,0.6,0.6,0.6,0.6,7,6.4,109.4,
道央,空知,月形町,宿泊客延数,0.4,0.5,0.5,0.7,1,0.5,0.6,0.4,0.6,0.6,0.6,0.6,7,6.4,109.4,
道央,空知,浦臼町,入込総数,13.6,18.2,15.6,19.7,32.2,22.9,10.7,6.9,6.5,5.7,6.7,10.9,169.6,226.4,74.9,
道央,空知,浦臼町,内道外客,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.2,1.2,100,
道央,空知,浦臼町,内道内客,13.5,18.1,15.5,19.6,32.1,22.8,10.6,6.8,6.4,5.6,6.6,10.8,168.4,225.2,74.8,
道央,空知,浦臼町,内日帰客,13.3,17.8,14.8,18.2,30.2,21.5,10.2,6.7,6.4,5.6,6.6,10.8,162.1,218.3,74.3,
道央,空知,浦臼町,内宿泊客,0.3,0.4,0.8,1.5,2,1.4,0.5,0.2,0.1,0.1,0.1,0.1,7.5,8.1,92.6,
道央,空知,浦臼町,宿泊客延数,0.3,0.4,0.8,1.5,2,1.4,0.5,0.2,0.1,0.1,0.1,0.1,7.5,8.1,92.6,
道央,空知,新十津川町,入込総数,10.5,11.7,15.8,24.2,15.5,12,11.9,9.7,9.4,11,8.9,10.1,150.7,145.2,103.8,
道央,空知,新十津川町,内道外客,1.1,1.2,1.6,2.4,1.6,1.2,1.2,1,0.9,1.1,0.9,1,15.2,14.5,104.8,
道央,空知,新十津川町,内道内客,9.4,10.5,14.2,21.8,13.9,10.8,10.7,8.7,8.5,9.9,8,9.1,135.5,130.7,103.7,
道央,空知,新十津川町,内日帰客,8.9,10.2,13.8,21.9,12.1,9.9,9.6,8.4,8,9.9,7.6,8.5,128.8,119.4,107.9,
道央,空知,新十津川町,内宿泊客,1.6,1.5,2,2.3,3.4,2.1,2.3,1.3,1.4,1.1,1.3,1.6,21.9,25.8,84.9,
道央,空知,新十津川町,宿泊客延数,1.6,1.5,2,2.3,3.4,2.1,2.3,1.3,1.4,1.1,1.3,1.6,21.9,25.8,84.9,
道央,空知,妹背牛町,入込総数,16.3,19.3,19.2,26.4,28.5,20,16.4,17,15.7,17,14.8,17.8,228.4,221.8,103,
道央,空知,妹背牛町,内道外客,0.1,0.1,0.1,0.1,0.2,0.1,0,0,0,0,0,0,0.7,1.4,50,
道央,空知,妹背牛町,内道内客,16.2,19.2,19.1,26.3,28.3,19.9,16.4,17,15.7,17,14.8,17.8,227.7,220.4,103.3,
道央,空知,妹背牛町,内日帰客,16.2,19.2,19.1,26.2,28.3,19.9,16.3,16.9,15.5,16.8,14.6,17.7,226.7,220.3,102.9,
道央,空知,妹背牛町,内宿泊客,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,1.7,1.5,113.3,
道央,空知,妹背牛町,宿泊客延数,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.2,0.2,0.2,0.1,1.8,1.7,105.9,
道央,空知,秩父別町,入込総数,41,48.7,45.8,103.2,155.6,91.9,44.9,24.6,19.5,16.9,15,25.5,632.6,538.8,117.4,
道央,空知,秩父別町,内道外客,1,1.2,1.1,2.5,3.9,2.3,1.1,0.6,0.5,0.4,0.4,0.6,15.6,13.2,118.2,
道央,空知,秩父別町,内道内客,40,47.5,44.7,100.7,151.7,89.6,43.8,24,19,16.5,14.6,24.9,617,525.6,117.4,
道央,空知,秩父別町,内日帰客,40.2,47.4,44.2,101.3,153.2,90.5,43.4,23.6,18.3,15.9,14,24.3,616.3,522.1,118,
道央,空知,秩父別町,内宿泊客,0.8,1.3,1.6,1.9,2.4,1.4,1.5,1,1.2,1,1,1.2,16.3,16.7,97.6,
道央,空知,秩父別町,宿泊客延数,0.8,1.3,1.6,1.9,2.4,1.4,1.5,1,1.2,1,1,1.2,16.3,16.7,97.6,
道央,空知,雨竜町,入込総数,16.5,27.8,26.6,33,45.2,28.9,17.8,13.3,7.9,7,6.6,10.4,241,262,92,
道央,空知,雨竜町,内道外客,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,1.7,11.8,
道央,空知,雨竜町,内道内客,16.5,27.8,26.4,33,45.2,28.9,17.8,13.3,7.9,7,6.6,10.4,240.8,260.3,92.5,
道央,空知,雨竜町,内日帰客,16.5,27.8,26.5,33,45.2,28.9,17.8,13.3,7.9,7,6.6,10.4,240.9,261.4,92.2,
道央,空知,雨竜町,内宿泊客,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.6,16.7,
道央,空知,雨竜町,宿泊客延数,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.6,16.7,
道央,空知,北竜町,入込総数,18.9,21.8,20.5,120.4,213.4,22.7,19.8,15,13.5,15.7,12.5,16.8,511,539.2,94.8,
道央,空知,北竜町,内道外客,1.5,1.7,1.6,47,87.5,1.8,1.6,1.2,1.1,1.3,1,1.3,148.6,181.3,82,
道央,空知,北竜町,内道内客,17.4,20.1,18.9,73.4,125.9,20.9,18.2,13.8,12.4,14.4,11.5,15.5,362.4,357.9,101.3,
道央,空知,北竜町,内日帰客,18.6,21.7,20.4,119.8,212.4,22,19.2,14.4,13.2,15.4,12.1,16.4,505.6,534.7,94.6,
道央,空知,北竜町,内宿泊客,0.3,0.1,0.1,0.6,1,0.7,0.6,0.6,0.3,0.3,0.4,0.4,5.4,4.5,120,
道央,空知,北竜町,宿泊客延数,0.3,0.4,0.5,1.1,2.1,2.8,3.4,4,4.3,4.6,5,5.4,33.9,36.4,93.1,
道央,空知,沼田町,入込総数,6,7.7,8.4,21.1,45,8.9,6.8,4.2,4.4,5.6,4.3,6.3,128.7,154.9,83.1,
道央,空知,沼田町,内道外客,0.9,1.2,1.2,3.2,6.7,1.3,1,0.6,0.7,0.8,0.7,0.9,19.2,23.3,82.4,
道央,空知,沼田町,内道内客,5.1,6.5,7.2,17.9,38.3,7.6,5.8,3.6,3.7,4.8,3.6,5.4,109.5,131.6,83.2,
道央,空知,沼田町,内日帰客,5.2,6.8,7.2,19.1,43.2,7.5,5.4,3.4,3.7,4.8,3.6,5.5,115.4,138.8,83.1,
道央,空知,沼田町,内宿泊客,0.8,0.9,1.2,2,1.8,1.4,1.4,0.8,0.7,0.8,0.7,0.8,13.3,16.1,82.6,
道央,空知,沼田町,宿泊客延数,0.8,0.9,1.2,2,1.8,1.4,1.4,0.8,0.7,0.8,0.7,0.8,13.3,16.1,82.6,
道央,石狩,札幌市,入込総数,1312.3,1458,1521.6,1929.3,1992.6,1447.1,1036.2,942.6,1022.5,1064.2,998.7,1121.1,15846.2,15270.9,103.8,
道央,石狩,札幌市,内道外客,430.5,524.7,597.4,660.2,684.5,377.8,494.1,443.2,556.6,519,500.8,472.2,6261,5836.1,107.3,
道央,石狩,札幌市,内道内客,881.8,933.3,924.2,1269.1,1308.1,1069.3,542.1,499.4,465.9,545.2,497.9,648.9,9585.2,9434.8,101.6,
道央,石狩,札幌市,内日帰客,750.6,774.1,749.2,1017,1149.3,1028,367.9,341.5,327.8,377.3,355.5,465.2,7703.4,7483.1,102.9,
道央,石狩,札幌市,内宿泊客,561.7,683.9,772.4,912.3,843.3,419.1,668.3,601.1,694.7,686.9,643.2,655.9,8142.8,7787.8,104.6,
道央,石狩,札幌市,宿泊客延数,925.9,1059.5,1141.3,1267.3,1293.4,898,1161.3,1097.4,1357.1,1214.1,1176.5,1140.8,13732.6,13082.7,105,
道央,石狩,江別市,入込総数,66.4,159.1,167.3,206.9,200,169.1,136.8,79.2,51,36.2,33.4,47.8,1353.2,915.3,147.8,
道央,石狩,江別市,内道外客,3.8,8.2,3.3,5.1,6.8,3.8,2.4,1.5,0.8,0.6,0.6,1.3,38.2,35.7,107,
道央,石狩,江別市,内道内客,62.6,150.9,164,201.8,193.2,165.3,134.4,77.7,50.2,35.6,32.8,46.5,1315,879.6,149.5,
道央,石狩,江別市,内日帰客,66.2,158.7,167,206.3,199.3,168.6,136.6,79,50.5,35.8,33.3,47.7,1349,912.2,147.9,
道央,石狩,江別市,内宿泊客,0.2,0.4,0.3,0.6,0.7,0.5,0.2,0.2,0.5,0.4,0.1,0.1,4.2,3.1,135.5,
道央,石狩,江別市,宿泊客延数,0.3,0.5,0.5,0.9,1,0.7,0.3,0.3,0.8,0.6,0.3,0.1,6.3,4.7,134,
道央,石狩,千歳市,入込総数,417.9,511.9,453.9,557,694.6,294.4,426.9,343.9,240.3,361.8,366.1,308.5,4977.2,5240.5,95,
道央,石狩,千歳市,内道外客,107.4,135.4,120.2,149.8,167.6,81.1,139.2,133.3,80.7,113,101.3,101.5,1430.5,1514.1,94.5,
道央,石狩,千歳市,内道内客,310.5,376.5,333.7,407.2,527,213.3,287.7,210.6,159.6,248.8,264.8,207,3546.7,3726.4,95.2,
道央,石狩,千歳市,内日帰客,400.9,489.2,428,523.8,656.6,273.3,403.2,323.4,217.1,339.3,343.7,288.3,4686.8,4961.3,94.5,
道央,石狩,千歳市,内宿泊客,17,22.7,25.9,33.2,38,21.1,23.7,20.5,23.2,22.5,22.4,20.2,290.4,279.2,104,
道央,石狩,千歳市,宿泊客延数,20.7,27.9,32.8,39.6,46.2,25.2,28.8,25.3,28.3,26.9,27.4,24.7,353.8,336.5,105.1,
道央,石狩,恵庭市,入込総数,108.2,177.3,158.4,168.8,178.6,128.6,216.4,72.2,35.7,31.6,33.4,47.7,1356.9,1351.1,100.4,
道央,石狩,恵庭市,内道外客,14.2,26.3,26.9,35.3,37,24.8,25.9,8,3.2,3.3,3.6,4.7,213.2,212.7,100.2,
道央,石狩,恵庭市,内道内客,94,151,131.5,133.5,141.6,103.8,190.5,64.2,32.5,28.3,29.8,43,1143.7,1138.4,100.5,
道央,石狩,恵庭市,内日帰客,107.9,176.4,158.2,167.9,178.2,128.1,215.1,71,34.9,30.9,32.3,47,1347.9,1347,100.1,
道央,石狩,恵庭市,内宿泊客,0.3,0.9,0.2,0.9,0.4,0.5,1.3,1.2,0.8,0.7,1.1,0.7,9,4.1,219.5,
道央,石狩,恵庭市,宿泊客延数,0.4,1.1,0.3,1.6,1,1.2,1.8,1.4,1,50,1.4,0.8,62,7.2,861.1,
道央,石狩,北広島市,入込総数,81,127.5,146.8,178.6,208.2,114.7,101.1,59.5,42.9,115.2,63.5,37.2,1276.2,1050.6,121.5,
道央,石狩,北広島市,内道外客,6.8,13.2,20.1,30.8,28.7,19,17.6,9.9,8.5,7.6,8.3,4.2,174.7,152.5,114.6,
道央,石狩,北広島市,内道内客,74.2,114.3,126.7,147.8,179.5,95.7,83.5,49.6,34.4,107.6,55.2,33,1101.5,898.1,122.6,
道央,石狩,北広島市,内日帰客,73.2,117.4,135.9,166.1,194.3,106.9,92.3,51.5,33.3,105.1,54.1,30.6,1160.7,933.8,124.3,
道央,石狩,北広島市,内宿泊客,7.8,10.1,10.9,12.5,13.9,7.8,8.8,8,9.6,10.1,9.4,6.6,115.5,116.8,98.9,
道央,石狩,北広島市,宿泊客延数,8.6,11.2,12.1,13,14.7,7.9,9.1,8.5,10.7,11.7,10.3,7.2,125,123,101.6,
道央,石狩,石狩市,入込総数,146.2,440.8,248.6,333.2,551.4,284.7,178.6,109.3,65.4,53.2,48.3,78.3,2538,2048.5,123.9,
道央,石狩,石狩市,内道外客,1.4,4.3,2.5,3.2,5.3,2.7,1.9,1.1,0.6,0.5,0.5,0.8,24.8,58.9,42.1,
道央,石狩,石狩市,内道内客,144.8,436.5,246.1,330,546.1,282,176.7,108.2,64.8,52.7,47.8,77.5,2513.2,1989.6,126.3,
道央,石狩,石狩市,内日帰客,145.7,439.8,246.5,329.4,544.2,280.3,177.7,108.9,65,52.5,47.5,77.3,2514.8,2013.1,124.9,
道央,石狩,石狩市,内宿泊客,0.5,1,2.1,3.8,7.2,4.4,0.9,0.4,0.4,0.7,0.8,1,23.2,35.4,65.5,
道央,石狩,石狩市,宿泊客延数,0.5,1,2.1,3.8,7.2,4.4,0.9,0.4,0.4,0.7,0.8,1,23.2,35.4,65.5,
道央,石狩,当別町,入込総数,86.7,159.5,135.3,138.3,164.2,142.5,117.7,63.4,35.9,42.8,37.5,61.5,1185.3,834.2,142.1,
道央,石狩,当別町,内道外客,0.2,1.1,1.5,1.7,1.5,1,0.1,0.1,0,0.1,0.1,0,7.4,8.9,83.1,
道央,石狩,当別町,内道内客,86.5,158.4,133.8,136.6,162.7,141.5,117.6,63.3,35.9,42.7,37.4,61.5,1177.9,825.3,142.7,
