area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道央,空知,夕張市,入込総数,20.1,45.9,49.1,55.7,64.1,28.9,46.4,17.5,32.3,53.7,46.7,52.6,513,534.1,96,
道央,空知,夕張市,内道外客,1.2,2.9,3,3.6,4.1,1.9,3,1.2,2,3.4,2.9,3.5,32.7,33.8,96.7,
道央,空知,夕張市,内道内客,18.9,43,46.1,52.1,60,27,43.4,16.3,30.3,50.3,43.8,49.1,480.3,500.3,96,
道央,空知,夕張市,内日帰客,16.5,37.6,40.6,44.6,51.8,24.4,40.9,12,26.6,45.9,39.6,45.8,426.3,460.7,92.5,
道央,空知,夕張市,内宿泊客,3.6,8.3,8.5,11.1,12.3,4.5,5.5,5.5,5.7,7.8,7.1,6.8,86.7,73.4,118.1,
道央,空知,夕張市,宿泊客延数,3.8,9.3,9.3,12,13.2,4.9,5.9,5.9,8,11.2,10.1,7.2,100.8,85.3,118.2,
道央,空知,岩見沢市,入込総数,71.9,112.2,100.3,230.2,171.8,81.7,62,30.9,31.3,85.1,69.9,36.7,1084,1145.4,94.6,
道央,空知,岩見沢市,内道外客,2.7,4.5,3.8,9.3,7.2,3.5,2.3,1.8,1.2,1.8,1.9,1.3,41.3,48.3,85.5,
道央,空知,岩見沢市,内道内客,69.2,107.7,96.5,220.9,164.6,78.2,59.7,29.1,30.1,83.3,68,35.4,1042.7,1097.1,95,
道央,空知,岩見沢市,内日帰客,68.7,108.4,95.7,224.9,165.9,77.3,57,26.2,27,81.1,65.6,33,1030.8,1085.5,95,
道央,空知,岩見沢市,内宿泊客,3.2,3.8,4.6,5.3,5.9,4.4,5,4.7,4.3,4,4.3,3.7,53.2,59.9,88.8,
道央,空知,岩見沢市,宿泊客延数,3.9,4.7,5.7,6.5,7.2,5.2,5.9,5.6,5,4.8,5.4,4.8,64.7,69.9,92.6,
道央,空知,美唄市,入込総数,20.3,38.6,27,29.5,32.9,25.8,28.2,18.5,25.3,21.1,21.6,22.2,311,302.3,102.9,
道央,空知,美唄市,内道外客,0.3,0.9,1.7,1.2,0.8,0.9,1.1,0.7,0.9,0.6,0.7,0.6,10.4,30.1,34.6,
道央,空知,美唄市,内道内客,20,37.7,25.3,28.3,32.1,24.9,27.1,17.8,24.4,20.5,20.9,21.6,300.6,272.2,110.4,
道央,空知,美唄市,内日帰客,18.9,36.6,24.5,26.6,30.4,24.1,25.3,16.1,22.6,19.1,19.6,19.9,283.7,276.9,102.5,
道央,空知,美唄市,内宿泊客,1.4,2,2.5,2.9,2.5,1.7,2.9,2.4,2.7,2,2,2.3,27.3,25.4,107.5,
道央,空知,美唄市,宿泊客延数,1.4,2,2.5,2.9,2.5,1.8,3,2.4,2.7,2,2.2,2.4,27.8,25.4,109.4,
道央,空知,芦別市,入込総数,46.9,106.6,95.3,149.5,142.8,76,72.4,37.4,31.3,65.6,49.2,46.1,919.1,904.3,101.6,
道央,空知,芦別市,内道外客,1.6,2.2,2.2,10.6,4.5,1.6,2,1.8,1.6,2.5,1.4,1.8,33.8,25,135.2,
道央,空知,芦別市,内道内客,45.3,104.4,93.1,138.9,138.3,74.4,70.4,35.6,29.7,63.1,47.8,44.3,885.3,879.3,100.7,
道央,空知,芦別市,内日帰客,44.7,102.9,90.9,142.9,134.8,72.4,69.6,34.5,29.1,62,47,43.3,874.1,863.4,101.2,
道央,空知,芦別市,内宿泊客,2.2,3.7,4.4,6.6,8,3.6,2.8,2.9,2.2,3.6,2.2,2.8,45,40.9,110,
道央,空知,芦別市,宿泊客延数,2.2,3.7,4.4,6.6,8,3.6,2.8,2.9,2.2,3.6,2.2,2.8,45,40.9,110,
道央,空知,赤平市,入込総数,19.7,14.3,15.5,51.5,33.2,18.4,16.8,11.6,9.8,10.5,9.4,12.9,223.6,240.2,93.1,
道央,空知,赤平市,内道外客,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0.2,0.2,100,
道央,空知,赤平市,内道内客,19.7,14.3,15.5,51.4,33.1,18.4,16.8,11.6,9.8,10.5,9.4,12.9,223.4,240,93.1,
道央,空知,赤平市,内日帰客,19,13.8,14.5,49.3,29,16.9,16.4,11.2,9.3,10.2,9.1,12.3,211,226.3,93.2,
道央,空知,赤平市,内宿泊客,0.7,0.5,1,2.2,4.2,1.5,0.4,0.4,0.5,0.3,0.3,0.6,12.6,13.9,90.6,
道央,空知,赤平市,宿泊客延数,0.7,0.5,1,2.2,4.2,1.5,0.4,0.4,0.5,0.3,0.3,0.6,12.6,13.9,90.6,
