area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道南,渡島,函館市,入込総数,285.5,561.1,532.8,616.9,677.0,586.1,504.5,302.2,248.9,139.0,165.7,223.7,4843.4,5067.6,95.57581498145076
道南,渡島,函館市,内道外客,185.1,352.9,347.6,410.1,432.0,392.7,355.5,218.9,184.1,96.3,116.3,145.6,3237.1,3397.8,95.27046912708222
道南,渡島,函館市,内道内客,100.4,208.2,185.2,206.8,245.0,193.4,149.0,83.3,64.8,42.7,49.4,78.1,1606.3,1669.8,96.19714935920469
道南,渡島,函館市,内日帰客,143.9,210.7,205.6,258.3,222.1,213.0,169.2,61.3,51.8,29.4,34.1,87.9,1687.3,1915.3,88.09585965645068
道南,渡島,函館市,内宿泊客,141.6,350.4,327.2,358.6,454.9,373.1,335.3,240.9,197.1,109.6,131.6,135.8,3156.1,3152.3,100.12054690226184
道南,渡島,函館市,宿泊客延数,171.3,420.5,399.2,448.3,564.1,451.5,435.9,313.2,248.3,137.0,175.0,182.0,3946.3,3858.8,102.26754431429458
道南,渡島,松前町,入込総数,39.3,234.9,15.2,32.7,70.7,22.4,25.0,17.0,12.3,4.5,4.5,7.5,486.0,530.0,91.69811320754717
道南,渡島,松前町,内道外客,7.1,70.5,4.2,7.4,14.8,3.4,5.1,3.2,2.0,0.7,0.9,1.4,120.7,142.0,85.0
道南,渡島,松前町,内道内客,32.2,164.4,11.0,25.3,55.9,19.0,19.9,13.8,10.3,3.8,3.6,6.1,365.3,388.0,94.14948453608247
道南,渡島,松前町,内日帰客,35.2,204.2,13.9,29.7,62.9,20.4,21.0,13.6,10.5,3.8,3.8,5.7,424.7,458.3,92.66855771328824
道南,渡島,松前町,内宿泊客,4.1,30.7,1.3,3.0,7.8,2.0,4.0,3.4,1.8,0.7,0.7,1.8,61.3,71.7,85.49511854951184
道南,渡島,松前町,宿泊客延数,4.2,32.3,1.3,3.2,8.1,2.0,4.3,3.5,2.7,1.0,0.7,2.0,65.3,76.6,85.24804177545691
道南,渡島,福島町,入込総数,9.6,21.4,8.7,10.7,15.7,8.7,6.0,4.3,1.5,1.8,1.5,1.8,91.7,59.2,154.89864864864865
道南,渡島,福島町,内道外客,0.6,1.8,0.5,0.7,1.1,0.6,0.6,0.4,0.1,0.2,0.1,0.2,6.9,9.0,76.66666666666667
道南,渡島,福島町,内道内客,9.0,19.6,8.2,10.0,14.6,8.1,5.4,3.9,1.4,1.6,1.4,1.6,84.8,50.2,168.9243027888446
道南,渡島,福島町,内日帰客,9.4,20.8,8.5,10.4,15.3,8.5,5.9,4.2,1.5,1.8,1.5,1.8,89.6,52.7,170.0189753320683
