area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
オホーツク,オホーツク,網走市,入込総数,52.9,98.9,112.2,144.9,265.2,121.1,104.6,76.8,66.8,132.3,270.2,178.2,1624.1,1530.1999999999998,106.13645275127435
オホーツク,オホーツク,網走市,内道外客,23.0,52.8,63.9,78.7,138.7,66.5,54.0,33.5,27.4,59.4,185.9,89.4,873.1999999999999,757.4,115.28914708212305
オホーツク,オホーツク,網走市,内道内客,29.9,46.10000000000001,48.300000000000004,66.2,126.5,54.599999999999994,50.599999999999994,43.3,39.4,72.9,84.29999999999998,88.79999999999998,750.9,772.8,97.16614906832298
オホーツク,オホーツク,網走市,内日帰客,37.9,67.10000000000001,77.4,97.60000000000001,207.7,80.39999999999999,73.1,54.4,48.8,109.00000000000001,231.7,153.7,1238.8,1164.3999999999999,106.38955685331501
オホーツク,オホーツク,網走市,内宿泊客,15.0,31.8,34.8,47.3,57.5,40.7,31.5,22.4,18.0,23.3,38.5,24.5,385.29999999999995,365.8,105.33078184800435
オホーツク,オホーツク,網走市,宿泊客延数,18.8,39.8,43.5,59.1,71.9,50.9,39.4,28.0,22.5,29.1,48.1,30.8,481.90000000000003,457.5,105.33333333333334
オホーツク,オホーツク,紋別市,入込総数,15.6,43.0,24.7,116.1,51.0,29.4,38.5,14.1,15.8,17.0,103.6,22.6,491.4,470.2,104.50871969374734
オホーツク,オホーツク,紋別市,内道外客,5.8,16.0,9.2,43.2,19.0,10.9,14.3,5.2,5.9,6.3,38.6,8.4,182.8,174.9,104.51686678101773
オホーツク,オホーツク,紋別市,内道内客,9.8,27.0,15.5,72.89999999999999,32.0,18.5,24.2,8.899999999999999,9.9,10.7,65.0,14.200000000000001,308.59999999999997,295.29999999999995,104.50389434473418
オホーツク,オホーツク,紋別市,内日帰客,13.1,36.5,20.5,110.3,44.0,24.599999999999998,31.3,10.399999999999999,11.3,13.4,96.1,18.400000000000002,429.89999999999986,423.09999999999997,101.60718506263294
オホーツク,オホーツク,紋別市,内宿泊客,2.5,6.5,4.2,5.8,7.0,4.8,7.2,3.7,4.5,3.6,7.5,4.2,61.50000000000001,47.1,130.57324840764332
オホーツク,オホーツク,紋別市,宿泊客延数,2.5,6.5,4.2,5.8,7.0,4.8,7.2,3.7,4.5,3.6,7.5,4.2,61.50000000000001,47.1,130.57324840764332
オホーツク,オホーツク,美幌町,入込総数,31.2,42.1,61.8,128.2,212.6,101.3,98.8,17.8,7.7,8.3,5.7,11.1,726.5999999999999,712.9999999999999,101.90743338008414
オホーツク,オホーツク,美幌町,内道外客,12.5,16.8,24.7,51.2,85.0,40.5,39.5,7.1,3.1,3.3,2.3,4.4,290.40000000000003,231.3,125.55123216601815
