area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道央,空知,夕張市,入込総数,25.1,34.4,41,44.3,47.9,32,42,16.4,24.1,43.1,40,13.1,403.4,513,78.60000000000,
道央,空知,夕張市,内道外客,1.5,2.2,2.5,2.8,3.1,2.1,2.7,1.1,1.5,2.7,2.5,0.9,25.6,32.7,78.30000000000,
道央,空知,夕張市,内道内客,23.6,32.2,38.5,41.5,44.8,29.9,39.3,15.3,22.6,40.4,37.5,12.2,377.8,480.3,78.70000000000,
道央,空知,夕張市,内日帰客,18.2,27.1,34.1,35.9,38.8,26.2,37.4,11.8,19.4,36.3,34.9,12.8,332.9,426.3,78.10000000000,
道央,空知,夕張市,内宿泊客,6.9,7.3,6.9,8.4,9.1,5.8,4.6,4.6,4.7,6.8,5.1,0.3,70.5,86.7,81.30000000000,
道央,空知,夕張市,宿泊客延数,7.3,8.3,7.3,9.1,9.8,6.3,5,4.9,6.5,9.7,7.3,0.3,81.8,100.8,81.20000000000,
道央,空知,岩見沢市,入込総数,91.9,137.1,97.4,232.9,188.3,105.6,62.6,32.8,27.8,66.1,51.4,18.9,1112.8,1084,102.70000000000,
道央,空知,岩見沢市,内道外客,3.5,6.1,4.3,9.5,7.9,4.1,3.3,2,1.7,1.6,1.7,0.8,46.5,41.3,112.60000000000,
道央,空知,岩見沢市,内道内客,88.4,131,93.1,223.4,180.4,101.5,59.3,30.8,26.1,64.5,49.7,18.1,1066.3,1042.7,102.30000000000,
道央,空知,岩見沢市,内日帰客,88.1,132.3,92.5,226.7,181.5,99.9,57.7,28.3,24,62.9,48.3,16.6,1058.8,1030.8,102.70000000000,
道央,空知,岩見沢市,内宿泊客,3.8,4.8,4.9,6.2,6.8,5.7,4.9,4.5,3.8,3.2,3.1,2.3,54,53.2,101.50000000000,
道央,空知,岩見沢市,宿泊客延数,4.5,5.7,6,7.4,7.9,6.7,5.7,5.4,4.5,4,3.9,2.9,64.6,64.7,99.80000000000,
道央,空知,美唄市,入込総数,33.8,68.3,36.3,39.1,47.2,43.7,30.9,19.1,15.7,26.8,20.3,15.4,396.6,311,127.50000000000,
