area,promotion_bureau,commune,type,april,may,june,july,august,september,october,november,december,january,february,march,sum,previous_year,comparison_with_previous_year
道南,渡島,函館市,入込総数,305.5,526.5,508.5,545.3,650.1,572.6,473.3,271.1,230.3,130.9,151.2,196.5,4561.8,4818.0,94.6824408468244
道南,渡島,函館市,内道外客,191.7,324.6,326.1,350.0,404.8,378.2,332.8,192.9,169.7,88.4,104.9,124.7,2988.8,3182.9,93.9017876779038
道南,渡島,函館市,内道内客,113.8,201.9,182.4,195.3,245.3,194.4,140.5,78.2,60.6,42.5,46.3,71.8,1573.0,1635.1,96.20206715185617
道南,渡島,函館市,内日帰客,155.0,209.2,191.5,231.3,203.8,223.4,164.7,62.2,62.0,33.8,31.3,79.9,1648.1,1750.7,94.13948706231791
道南,渡島,函館市,内宿泊客,150.5,317.3,317.0,314.0,446.3,349.2,308.6,208.9,168.3,97.1,119.9,116.6,2913.7,3067.3,94.99233853878002
道南,渡島,函館市,宿泊客延数,198.7,434.7,440.6,430.2,624.8,492.4,481.4,302.9,324.8,180.6,250.6,223.9,4385.6,4210.0,104.17102137767222
道南,渡島,松前町,入込総数,70.0,170.0,17.0,38.0,77.0,30.0,35.0,18.0,12.5,6.5,5.0,5.0,484.0,527.0,91.84060721062619
道南,渡島,松前町,内道外客,14.7,35.8,3.6,8.0,16.2,6.3,7.4,3.8,2.6,1.4,1.1,1.1,102.0,111.1,91.80918091809181
道南,渡島,松前町,内道内客,55.3,134.2,13.4,30.0,60.8,23.7,27.6,14.2,9.9,5.1,3.9,3.9,382.0,415.9,91.84900216398174
道南,渡島,松前町,内日帰客,64.8,142.2,15.6,35.1,70.4,27.7,30.5,16.3,11.2,6.1,4.5,2.9,427.3,462.0,92.4891774891775
道南,渡島,松前町,内宿泊客,5.2,27.8,1.4,2.9,6.6,2.3,4.5,1.7,1.3,0.4,0.5,2.1,56.7,65.0,87.23076923076924
道南,渡島,松前町,宿泊客延数,5.4,29.4,1.4,3.0,6.9,2.3,4.7,1.9,1.3,0.6,0.8,2.1,59.8,69.6,85.91954022988506
道南,渡島,福島町,入込総数,7.4,12.6,5.6,6.7,11.4,6.4,5.4,4.2,2.2,2.2,2.0,2.4,68.5,73.3,93.45156889495226
道南,渡島,福島町,内道外客,0.7,1.2,0.5,0.6,1.0,0.6,0.5,0.4,0.2,0.2,0.2,0.2,6.3,6.6,95.45454545454545
道南,渡島,福島町,内道内客,6.7,11.4,5.1,6.1,10.4,5.8,4.9,3.8,2.0,2.0,1.8,2.2,62.2,66.7,93.25337331334332
道南,渡島,福島町,内日帰客,7.2,12.2,5.4,6.5,11.1,6.2,5.2,4.1,2.1,2.1,1.9,2.3,66.3,71.7,92.46861924686192
道南,渡島,福島町,内宿泊客,0.2,0.4,0.2,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,2.2,1.6,137.5
道南,渡島,福島町,宿泊客延数,0.2,0.4,0.2,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,2.2,1.6,137.5
道南,渡島,知内町,入込総数,15.4,22.5,7.4,8.6,14.8,9.0,9.4,5.5,3.7,4.2,7.4,5.1,113.0,103.3,109.39012584704744
道南,渡島,知内町,内道外客,7.0,10.1,2.2,2.6,6.7,3.6,0.5,0.3,0.2,0.2,0.7,0.5,34.6,36.9,93.7669376693767
道南,渡島,知内町,内道内客,8.4,12.4,5.2,6.0,8.1,5.4,8.9,5.2,3.5,4.0,6.7,4.6,78.4,66.4,118.07228915662651
道南,渡島,知内町,内日帰客,13.6,20.2,6.7,7.7,13.7,8.1,8.5,5.0,3.5,4.0,6.3,4.6,101.9,93.4,109.10064239828694
道南,渡島,知内町,内宿泊客,1.8,2.3,0.7,0.9,1.1,0.9,0.9,0.5,0.2,0.2,1.1,0.5,11.1,9.9,112.12121212121211
道南,渡島,知内町,宿泊客延数,1.8,2.4,0.7,0.9,1.2,0.9,0.9,0.5,0.2,0.2,1.2,0.5,11.4,10.6,107.54716981132076
道南,渡島,木古内町,入込総数,0.7,7.4,2.6,1.4,4.7,3.1,1.8,1.9,0.8,2.5,1.0,0.6,28.5,37.7,75.59681697612731
道南,渡島,木古内町,内道外客,0.0,0.3,0.3,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.3,1.8,72.22222222222221
道南,渡島,木古内町,内道内客,0.7,7.1,2.3,1.4,4.1,3.1,1.8,1.8,0.8,2.5,1.0,0.6,27.2,35.9,75.76601671309191
道南,渡島,木古内町,内日帰客,0.6,7.0,2.3,1.3,4.5,3.0,1.7,1.8,0.8,2.4,1.0,0.6,27.0,34.0,79.41176470588235
道南,渡島,木古内町,内宿泊客,0.1,0.4,0.3,0.1,0.2,0.1,0.1,0.1,0.0,0.1,0.0,0.0,1.5,3.7,40.54054054054054
道南,渡島,木古内町,宿泊客延数,0.1,0.5,0.3,0.1,0.3,0.1,0.1,0.1,0.0,0.1,0.0,0.0,1.7,4.1,41.463414634146346
道南,渡島,北斗市,入込総数,51.5,74.4,61.5,78.9,72.4,66.0,54.6,46.9,38.6,38.8,31.8,37.0,652.4,785.1,83.09769456120239
道南,渡島,北斗市,内道外客,3.3,6.9,5.3,4.8,7.2,6.0,5.5,2.9,1.7,0.7,0.7,1.6,46.6,48.4,96.28099173553719
道南,渡島,北斗市,内道内客,48.2,67.5,56.2,74.1,65.2,60.0,49.1,44.0,36.9,38.1,31.1,35.4,605.8,736.7,82.23157323198043
道南,渡島,北斗市,内日帰客,50.0,71.6,59.5,76.1,67.9,62.7,52.4,45.7,37.1,37.8,31.2,36.2,628.2,767.1,81.89284317559641
道南,渡島,北斗市,内宿泊客,1.5,2.8,2.0,2.8,4.5,3.3,2.2,1.2,1.5,1.0,0.6,0.8,24.2,18.0,134.44444444444443
道南,渡島,北斗市,宿泊客延数,1.8,3.3,2.4,3.3,5.4,4.0,2.2,1.2,1.5,1.0,0.6,0.8,27.5,21.7,126.72811059907833
道南,渡島,七飯町,入込総数,124.3,195.6,169.9,173.3,214.8,190.7,240.8,130.1,102.5,96.2,104.9,88.8,1831.9,2083.8,87.91150782224781
道南,渡島,七飯町,内道外客,85.7,125.8,115.1,110.5,137.9,124.8,157.2,85.2,64.1,44.7,55.7,52.3,1159.0,1321.0,87.73656320968963
道南,渡島,七飯町,内道内客,38.6,69.8,54.8,62.8,76.9,65.9,83.6,44.9,38.4,51.5,49.2,36.5,672.9,762.8,88.21447299423178
道南,渡島,七飯町,内日帰客,120.5,187.5,161.6,165.9,202.9,180.8,230.1,126.2,99.1,93.2,102.2,85.4,1755.4,1986.1,88.38427068123458
道南,渡島,七飯町,内宿泊客,3.8,8.1,8.3,7.4,11.9,9.9,10.7,3.9,3.4,3.0,2.7,3.4,76.5,97.7,78.30092118730808
道南,渡島,七飯町,宿泊客延数,3.8,8.1,8.3,7.4,11.9,9.9,10.7,3.9,3.4,3.0,2.7,3.4,76.5,97.7,78.30092118730808
道南,渡島,鹿部町,入込総数,16.0,29.0,22.7,22.2,53.1,22.9,23.5,12.1,4.4,3.9,2.2,5.5,217.5,238.3,91.2715065044062
道南,渡島,鹿部町,内道外客,3.6,4.6,5.7,5.2,6.2,4.4,4.7,1.7,0.9,1.1,0.2,0.7,39.0,58.1,67.12564543889845
道南,渡島,鹿部町,内道内客,12.4,24.4,17.0,17.0,46.9,18.5,18.8,10.4,3.5,2.8,2.0,4.8,178.5,180.2,99.05660377358491
道南,渡島,鹿部町,内日帰客,10.7,19.7,15.1,15.5,44.4,15.7,15.5,8.4,2.3,1.8,1.1,3.6,153.8,159.6,96.36591478696744
道南,渡島,鹿部町,内宿泊客,5.3,9.3,7.6,6.7,8.7,7.2,8.0,3.7,2.1,2.1,1.1,1.9,63.7,78.7,80.94027954256671
道南,渡島,鹿部町,宿泊客延数,5.3,9.3,7.6,6.8,8.7,7.2,9.6,4.7,3.0,3.0,1.2,2.7,69.1,79.0,87.46835443037973
道南,渡島,森町,入込総数,41.7,192.8,50.3,53.7,90.4,71.6,54.5,36.2,28.5,42.7,35.0,36.3,733.7,713.0,102.90322580645162
道南,渡島,森町,内道外客,2.5,7.6,5.6,5.1,11.6,5.8,3.7,2.0,2.0,2.5,2.5,1.6,52.5,92.1,57.00325732899023
道南,渡島,森町,内道内客,39.2,185.2,44.7,48.6,78.8,65.8,50.8,34.2,26.5,40.2,32.5,34.7,681.2,620.9,109.71170880979224
道南,渡島,森町,内日帰客,36.4,183.4,43.3,45.2,78.0,63.1,48.4,32.8,25.4,38.0,31.0,33.5,658.5,641.3,102.68205208170905
道南,渡島,森町,内宿泊客,5.3,9.4,7.0,8.5,12.4,8.5,6.1,3.4,3.1,4.7,4.0,2.8,75.2,71.7,104.88145048814505
道南,渡島,森町,宿泊客延数,5.9,10.2,7.6,9.3,14.2,9.3,6.6,3.9,3.4,5.2,4.5,3.3,83.4,79.0,105.56962025316456
道南,渡島,八雲町,入込総数,26.4,77.2,33.7,36.0,83.2,41.8,37.1,20.8,10.8,14.4,15.5,16.1,413.0,442.8,93.27009936766034
道南,渡島,八雲町,内道外客,6.9,12.9,8.6,10.1,17.3,11.4,9.6,5.8,2.4,2.8,4.0,5.1,96.9,102.2,94.81409001956948
道南,渡島,八雲町,内道内客,19.5,64.3,25.1,25.9,65.9,30.4,27.5,15.0,8.4,11.6,11.5,11.0,316.1,340.6,92.80681150910158
道南,渡島,八雲町,内日帰客,24.9,74.2,31.1,32.8,77.9,38.5,33.9,19.3,9.6,13.3,14.7,15.2,385.4,413.6,93.18181818181816
道南,渡島,八雲町,内宿泊客,1.5,3.0,2.6,3.2,5.3,3.3,3.2,1.5,1.2,1.1,0.8,0.9,27.6,29.2,94.5205479452055
道南,渡島,八雲町,宿泊客延数,1.7,3.3,3.0,3.7,6.0,3.7,3.6,1.6,1.3,1.2,0.9,1.1,31.1,35.3,88.10198300283287
道南,渡島,長万部町,入込総数,43.8,75.7,71.4,62.1,69.9,77.7,70.1,50.9,37.4,23.5,21.6,27.4,631.5,697.9,90.48574294311507
道南,渡島,長万部町,内道外客,13.9,31.4,22.6,18.9,23.7,30.2,29.9,24.8,18.1,9.2,10.3,12.4,245.4,242.9,101.02923013585838
道南,渡島,長万部町,内道内客,29.9,44.3,48.8,43.2,46.2,47.5,40.2,26.1,19.3,14.3,11.3,15.0,386.1,455.0,84.85714285714286
道南,渡島,長万部町,内日帰客,42.2,73.4,69.3,59.9,67.5,75.8,67.8,49.3,35.9,21.6,19.4,25.7,607.8,674.0,90.1780415430267
道南,渡島,長万部町,内宿泊客,1.6,2.3,2.1,2.2,2.4,1.9,2.3,1.6,1.5,1.9,2.2,1.7,23.7,23.9,99.16317991631799
道南,渡島,長万部町,宿泊客延数,3.3,4.7,4.4,4.6,6.5,3.9,4.6,3.3,3.1,3.9,4.5,3.4,50.2,50.7,99.0138067061144
道南,檜山,江差町,入込総数,20.3,40.6,32.7,93.1,143.3,50.3,8.5,4.2,2.4,1.3,4.2,2.8,403.7,442.7,91.19042240795122
道南,檜山,江差町,内道外客,7.8,15.3,12.8,36.2,55.1,18.2,3.4,1.3,0.8,0.4,0.7,0.8,152.8,174.3,87.6649454962708
道南,檜山,江差町,内道内客,12.5,25.3,19.9,56.9,88.2,32.1,5.1,2.9,1.6,0.9,3.5,2.0,250.9,268.4,93.47988077496275
道南,檜山,江差町,内日帰客,17.0,36.4,29.1,87.5,136.2,44.9,7.1,3.1,1.5,0.7,3.5,2.0,369.0,403.2,91.51785714285715
道南,檜山,江差町,内宿泊客,3.3,4.2,3.6,5.6,7.1,5.4,1.4,1.1,0.9,0.6,0.7,0.8,34.7,39.5,87.84810126582279
道南,檜山,江差町,宿泊客延数,3.3,4.2,3.6,5.6,7.1,5.4,1.4,1.1,0.9,0.6,0.7,0.8,34.7,39.5,87.84810126582279
道南,檜山,上ノ国町,入込総数,8.8,18.4,8.1,6.9,12.6,7.8,9.2,4.8,3.5,3.4,3.6,4.4,91.5,100.4,91.13545816733067
道南,檜山,上ノ国町,内道外客,1.3,5.5,1.6,1.4,3.8,1.6,0.9,0.2,0.2,0.2,0.2,0.2,17.1,20.8,82.21153846153847
道南,檜山,上ノ国町,内道内客,7.5,12.9,6.5,5.5,8.8,6.2,8.3,4.6,3.3,3.2,3.4,4.2,74.4,79.6,93.4673366834171
道南,檜山,上ノ国町,内日帰客,8.7,18.2,7.9,6.7,12.3,7.6,8.9,4.6,3.3,3.3,3.5,4.3,89.3,97.8,91.30879345603272
道南,檜山,上ノ国町,内宿泊客,0.1,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.1,0.1,0.1,2.2,2.6,84.61538461538461
道南,檜山,上ノ国町,宿泊客延数,0.1,0.4,0.3,0.2,0.3,0.2,0.7,0.4,0.5,0.5,0.6,0.4,4.6,4.4,104.54545454545452
道南,檜山,厚沢部町,入込総数,10.0,15.8,10.4,18.3,18.1,12.6,13.0,9.6,5.9,6.5,6.2,7.6,134.0,135.0,99.25925925925925
道南,檜山,厚沢部町,内道外客,0.3,0.5,0.4,0.7,0.8,0.9,0.3,0.2,0.1,0.1,0.1,0.1,4.5,5.1,88.23529411764707
道南,檜山,厚沢部町,内道内客,9.7,15.3,10.0,17.6,17.3,11.7,12.7,9.4,5.8,6.4,6.1,7.5,129.5,129.9,99.69207082371054
道南,檜山,厚沢部町,内日帰客,9.4,14.6,9.7,16.7,15.4,11.0,11.9,8.9,5.5,6.2,5.8,7.2,122.3,121.9,100.3281378178835
道南,檜山,厚沢部町,内宿泊客,0.6,1.2,0.7,1.6,2.7,1.6,1.1,0.7,0.4,0.3,0.4,0.4,11.7,13.1,89.31297709923663
道南,檜山,厚沢部町,宿泊客延数,1.0,2.1,1.2,2.6,4.0,2.4,1.7,1.1,0.6,0.3,0.7,0.6,18.3,18.8,97.3404255319149
道南,檜山,乙部町,入込総数,9.3,14.5,9.6,22.6,39.9,10.5,9.5,6.5,4.9,5.1,4.1,5.2,141.7,172.8,82.00231481481481
道南,檜山,乙部町,内道外客,1.2,1.9,1.3,3.0,5.3,1.4,2.2,1.5,1.2,1.2,1.0,1.2,22.4,40.7,55.03685503685502
道南,檜山,乙部町,内道内客,8.1,12.6,8.3,19.6,34.6,9.1,7.3,5.0,3.7,3.9,3.1,4.0,119.3,132.1,90.3103709311128
道南,檜山,乙部町,内日帰客,8.7,13.4,8.7,21.7,38.6,9.5,8.7,5.6,4.3,4.5,3.6,4.8,132.1,163.3,80.8940600122474
道南,檜山,乙部町,内宿泊客,0.6,1.1,0.9,0.9,1.3,1.0,0.8,0.9,0.6,0.6,0.5,0.4,9.6,9.5,101.05263157894737
道南,檜山,乙部町,宿泊客延数,0.7,1.2,1.1,1.0,1.4,1.3,1.0,1.0,0.7,0.8,0.7,0.5,11.4,11.3,100.88495575221239
道南,檜山,奥尻町,入込総数,1.6,5.1,5.9,7.5,9.1,4.8,2.9,1.1,0.8,0.9,0.8,0.8,41.3,45.7,90.37199124726476
道南,檜山,奥尻町,内道外客,0.3,1.7,2.4,1.1,1.5,1.5,0.7,0.1,0.0,0.1,0.1,0.0,9.5,10.3,92.23300970873785
道南,檜山,奥尻町,内道内客,1.3,3.4,3.5,6.4,7.6,3.3,2.2,1.0,0.8,0.8,0.7,0.8,31.8,35.4,89.83050847457628
道南,檜山,奥尻町,内日帰客,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.9,77.77777777777777
道南,檜山,奥尻町,内宿泊客,1.5,5.0,5.8,7.4,9.0,4.7,2.8,1.1,0.8,0.9,0.8,0.8,40.6,44.8,90.625
道南,檜山,奥尻町,宿泊客延数,1.7,5.5,6.2,7.9,9.5,5.1,3.0,1.2,0.9,0.9,0.8,0.9,43.6,48.2,90.45643153526972
道南,檜山,せたな町,入込総数,12.5,32.9,22.5,36.2,54.8,22.7,12.0,8.5,9.0,8.1,7.1,9.8,236.1,274.6,85.97960670065548
道南,檜山,せたな町,内道外客,0.6,1.8,1.8,2.0,3.3,1.4,1.1,0.8,0.4,0.3,0.2,0.3,14.0,12.1,115.70247933884299
道南,檜山,せたな町,内道内客,11.9,31.1,20.7,34.2,51.5,21.3,10.9,7.7,8.6,7.8,6.9,9.5,222.1,262.5,84.60952380952381
道南,檜山,せたな町,内日帰客,10.5,28.7,16.2,27.9,41.2,19.8,9.1,6.1,7.0,6.6,5.0,6.3,184.4,206.9,89.12518124697921
道南,檜山,せたな町,内宿泊客,2.0,4.2,6.3,8.3,13.6,2.9,2.9,2.4,2.0,1.5,2.1,3.5,51.7,67.7,76.36632200886262
道南,檜山,せたな町,宿泊客延数,5.8,8.0,6.9,8.9,16.4,6.9,3.2,2.6,2.1,1.7,2.3,3.9,68.7,98.0,70.10204081632654
道南,檜山,今金町,入込総数,2.0,3.8,3.5,5.0,8.0,11.0,3.4,2.1,2.2,11.8,10.2,3.4,66.4,84.9,78.20965842167256
道南,檜山,今金町,内道外客,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0.2,0.0,0.7,0.7,100.0
道南,檜山,今金町,内道内客,2.0,3.8,3.5,4.9,7.8,10.9,3.4,2.1,2.2,11.7,10.0,3.4,65.7,84.2,78.02850356294537
道南,檜山,今金町,内日帰客,1.9,3.5,3.3,4.6,7.5,10.6,3.0,1.9,2.1,11.6,10.0,3.3,63.3,81.5,77.66871165644172
道南,檜山,今金町,内宿泊客,0.1,0.3,0.2,0.4,0.5,0.4,0.4,0.2,0.1,0.2,0.2,0.1,3.1,3.4,91.1764705882353
道南,檜山,今金町,宿泊客延数,0.2,0.4,0.3,0.5,0.6,0.5,0.5,0.3,0.2,0.3,0.3,0.2,4.3,4.6,93.47826086956522
道央,石狩,札幌市,入込総数,929.5,1129.8,1256.3,1390.7,1400.3,1334.3,1195.9,1011.3,826.1,809.4,824.1,850.9,12958.6,13781.1,94.03168107045155
道央,石狩,札幌市,内道外客,320.4,433.5,597.1,719.2,727.9,635.3,502.2,408.3,347.3,325.9,357.0,332.1,5706.2,6103.6,93.48908840684186
道央,石狩,札幌市,内道内客,609.1,696.3,659.2,671.5,672.4,699.0,693.7,603.0,478.8,483.5,467.1,518.8,7252.4,7677.5,94.46304135460761
道央,石狩,札幌市,内日帰客,570.0,589.4,590.5,642.0,621.1,656.6,617.0,560.7,395.0,388.8,358.1,432.5,6421.7,7303.5,87.92633668788936
道央,石狩,札幌市,内宿泊客,359.5,540.4,665.8,748.7,779.2,677.7,578.9,450.6,431.1,420.6,466.0,418.4,6536.9,6477.6,100.91546251698158
道央,石狩,札幌市,宿泊客延数,545.9,794.1,899.1,1006.1,1093.8,934.5,879.7,706.7,732.6,697.8,735.6,711.6,9737.5,9242.4,105.35683372284255
道央,石狩,江別市,入込総数,45.8,92.6,96.9,171.1,80.8,97.5,82.8,30.2,25.4,22.4,40.3,26.0,811.8,958.1,84.73019517795638
道央,石狩,江別市,内道外客,0.6,1.0,1.4,2.0,1.6,1.2,0.7,0.4,0.2,0.2,0.4,0.3,10.0,13.3,75.18796992481202
道央,石狩,江別市,内道内客,45.2,91.6,95.5,169.1,79.2,96.3,82.1,29.8,25.2,22.2,39.9,25.7,801.8,944.8,84.8645215918713
道央,石狩,江別市,内日帰客,45.3,92.4,96.5,170.9,80.3,97.2,82.6,30.1,25.2,22.2,40.2,25.9,808.8,954.6,84.72658705216844
道央,石狩,江別市,内宿泊客,0.5,0.2,0.4,0.2,0.5,0.3,0.2,0.1,0.2,0.2,0.1,0.1,3.0,3.5,85.71428571428571
道央,石狩,江別市,宿泊客延数,0.7,0.3,0.6,0.3,0.7,0.5,0.3,0.1,0.3,0.3,0.1,0.2,4.4,5.3,83.01886792452832
道央,石狩,千歳市,入込総数,367.7,445.7,381.5,474.6,607.2,447.3,458.2,309.4,257.2,350.7,362.3,337.0,4798.8,5594.9,85.77096999052709
道央,石狩,千歳市,内道外客,85.8,106.9,99.4,121.8,139.1,118.8,125.6,78.4,64.4,85.5,77.4,80.2,1183.3,760.9,155.51320804310683
道央,石狩,千歳市,内道内客,281.9,338.8,282.1,352.8,468.1,328.5,332.6,231.0,192.8,265.2,284.9,256.8,3615.5,4834.0,74.79313198179561
道央,石狩,千歳市,内日帰客,358.2,429.3,357.1,446.7,575.4,424.8,440.3,298.3,247.1,340.7,352.2,326.5,4596.6,5428.9,84.66908581848995
道央,石狩,千歳市,内宿泊客,9.5,16.4,24.4,27.9,31.8,22.5,17.9,11.1,10.1,10.0,10.1,10.5,202.2,166.0,121.80722891566265
道央,石狩,千歳市,宿泊客延数,10.4,18.3,29.0,38.5,45.8,37.6,21.9,13.6,12.4,12.1,12.3,12.5,264.4,190.9,138.50183342063906
道央,石狩,恵庭市,入込総数,89.3,150.7,139.3,140.7,154.9,128.7,190.6,66.9,42.6,42.0,40.7,52.6,1239.0,1200.1,103.24139655028748
道央,石狩,恵庭市,内道外客,5.7,10.1,24.1,24.2,26.6,23.0,22.1,5.3,10.0,10.5,8.6,9.8,180.0,144.5,124.5674740484429
道央,石狩,恵庭市,内道内客,83.6,140.6,115.2,116.5,128.3,105.7,168.5,61.6,32.6,31.5,32.1,42.8,1059.0,1055.6,100.32209170140204
道央,石狩,恵庭市,内日帰客,87.8,149.0,137.4,138.3,153.0,126.9,188.9,65.6,41.5,40.8,39.4,51.0,1219.6,1178.2,103.51383466304532
道央,石狩,恵庭市,内宿泊客,1.5,1.7,1.9,2.4,1.9,1.8,1.7,1.3,1.1,1.2,1.3,1.6,19.4,21.9,88.58447488584474
道央,石狩,恵庭市,宿泊客延数,1.8,2.0,2.2,2.9,2.2,2.1,1.9,1.4,1.2,1.4,1.5,2.0,22.6,26.8,84.32835820895522
道央,石狩,北広島市,入込総数,31.8,69.8,83.4,80.9,96.5,101.3,88.2,39.3,22.9,62.5,37.3,35.9,749.8,539.8,138.9032975175991
道央,石狩,北広島市,内道外客,0.4,5.5,17.3,13.7,8.6,9.4,5.2,3.9,3.3,9.6,5.4,12.9,95.2,38.1,249.86876640419945
